gameNumber,grid,score,gaveup,guessesLeft,timestamp
5,"['Evan Rodrigues (2011-15)', 'Jack Parker (1965-68)', 'Wilmer Skoog (2019-23)', None, None, None, 'Jay Pandolfo (1992-96)', None, 'Nick Roukounakis (2024-27)']",5,False,0,2026-09-10T10:19:29.381Z
5,"['Jack Eichel (2014-15)', 'Mike Eruzione (1973-77)', 'Cole Eiserman (2024-26)', 'Vic Stanfield (1972-75)', 'Matt Grzelcyk (2012-16)', 'Cole Hutson (2024-26)', None, 'Jack Parker (1965-68)', 'Nick Roukounakis (2024-27)']",8,False,0,2026-09-10T10:27:54.370Z
5,"['Jack Garrity (1949-51)', 'Mike Eruzione (1973-77)', 'Brad Zancanaro (2002-06)', 'Tony Amonte (1989-91)', 'Herb Wakabayashi (1966-69)', 'Matt Grzelcyk (2012-16)', 'Chris Drury (1994-98)', 'Peter Brown (1972-76)', 'Dan Spang (2002-06)']",9,False,0,2026-09-10T10:31:32.801Z
5,"['Quinn Hutson (2022-25)', None, 'Charlie Coyle (2010-12)', None, None, 'Cole Hutson (2024-26)', 'Jay Pandolfo (1992-96)', None, 'Matt Grzelcyk (2012-16)']",5,False,0,2026-09-10T11:28:26.265Z
5,"['Quinn Hutson (2022-25)', 'Keith Tkachuk (1990-91)', 'Macklin Celebrini (2023-24)', 'Chris Drury (1994-98)', None, 'Cole Hutson (2024-26)', 'Jay Pandolfo (1992-96)', 'Jack Parker (1965-68)', 'Shane Lachance (2023-25)']",8,False,0,2026-09-10T13:28:17.781Z
5,"['Macklin Celebrini (2023-24)', 'Keith Tkachuk (1990-91)', 'Kevin Gilroy (2008-12)', 'Tony Amonte (1989-91)', 'Matt Grzelcyk (2012-16)', 'Dylan Peterson (2020-24)', ""Danny O'Regan (2012-16)"", 'Jim Craig (1976-79)', 'Tristan Amonte (2021-25)']",9,False,0,2026-09-10T13:46:59.314Z
5,"['John Cullen (1983-87)', 'Jack Parker (1965-68)', 'Brian McGuirk (2004-08)', None, None, None, 'Jack Eichel (2014-15)', 'Keith Tkachuk (1990-91)', 'Ryan Weston (2004-08)']",6,False,0,2026-09-10T13:52:28.724Z
5,"['Macklin Celebrini (2023-24)', 'Chris Drury (1994-98)', 'Trevor Zegras (2019-20)', 'Tony Amonte (1989-91)', 'Matt Grzelcyk (2012-16)', 'Cole Hutson (2024-26)', 'Jack Eichel (2014-15)', ""Jack O'Callahan (1975-79)"", 'Matthew Quercia (2018-21)']",9,False,0,2026-09-10T13:55:45.981Z
5,"['Macklin Celebrini (2023-24)', None, 'Quinn Hutson (2022-25)', None, 'Tony Amonte (1989-91)', 'Dylan Peterson (2020-24)', 'Jack Eichel (2014-15)', 'Matt Grzelcyk (2012-16)', 'Cole Eiserman (2024-26)']",7,True,1,2026-09-10T14:10:09.478Z
5,"['Rick Meagher (1973-77)', None, 'Brad Zancanaro (2002-06)', 'Tony Amonte (1989-91)', 'John Curry (2003-07)', 'Matt Grzelcyk (2012-16)', 'Jack Eichel (2014-15)', 'Jack Parker (1965-68)', ""Danny O'Regan (2012-16)""]",8,False,0,2026-09-10T14:25:37.540Z
5,"['Jack Eichel (2014-15)', 'Mike Eruzione (1973-77)', 'Patrick Curry (2016-20)', 'Sammy Davis (2015-20)', None, 'Dylan Peterson (2020-24)', 'Jay Pandolfo (1992-96)', 'Jack Parker (1965-68)', 'Mick Frechette (2023-27)']",8,False,0,2026-09-10T15:43:49.686Z
5,"['Rick Meagher (1973-77)', 'Chris Drury (1994-98)', 'Macklin Celebrini (2023-24)', None, None, None, 'Tony Amonte (1989-91)', 'Shawn McEachern (1988-91)', 'Cole Eiserman (2024-26)']",6,False,0,2026-09-10T17:08:36.754Z
5,"['John Cullen (1983-87)', 'Keith Tkachuk (1990-91)', 'Wilmer Skoog (2019-23)', 'Nick Bonino (2007-10)', 'Matt Grzelcyk (2012-16)', 'Cole Hutson (2024-26)', 'Jay Pandolfo (1992-96)', 'Jack Parker (1965-68)', 'Sean Sullivan (2003-07)']",9,False,0,2026-09-10T17:11:21.579Z
5,"['Jesse Compher (2017-21)', None, 'Clayton Keller (2016-17)', None, None, None, 'Jack Eichel (2014-15)', 'Mike Eruzione (1973-77)', 'Matt Grzelcyk (2012-16)']",5,False,0,2026-09-10T17:20:02.669Z
5,"['Jack Eichel (2014-15)', 'Jay Pandolfo (1992-96)', 'Brad Zancanaro (2002-06)', None, 'Chris Drury (1994-98)', None, 'Tony Amonte (1989-91)', 'Jack Parker (1965-68)', 'Chris Bourque (2004-05)']",7,False,0,2026-09-10T18:39:55.068Z
