date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
1996-05-04,CHI,COL,1,04:28,McNichols Sports Arena,Tony Amonte,,
1996-05-11,CHI,COL,3,05:19,McNichols Sports Arena,Scott Young,,
1996-06-04,FLA,COL,2,10:32,McNichols Sports Arena,Scott Young,,
1997-04-16,PHX,ANA,2,16:48,Arrowhead Pond,Keith Tkachuk,,
1997-04-18,PHX,ANA,3,03:55,Arrowhead Pond,Keith Tkachuk,,
1997-04-18,EDM,DAL,1,14:51,Reunion Arena,Mike Grier,,
1997-04-20,ANA,PHX,1,14:01,America West Arena,Keith Tkachuk,,None
1997-04-20,DAL,EDM,3,17:56,Edmonton Coliseum,Mike Grier,,
1997-04-20,COL,CHI,2,13:51,United Center,Tony Amonte,,
1997-04-22,COL,CHI,1,03:34,United Center,Tony Amonte,,None
1997-04-22,COL,CHI,3,14:28,United Center,Tony Amonte,,None
1997-04-24,PHX,ANA,1,14:46,Arrowhead Pond,Keith Tkachuk,,
1997-04-24,PHX,ANA,3,19:39,Arrowhead Pond,Keith Tkachuk,,None
1997-04-25,OTT,BUF,1,16:14,Marine Midland Arena,Shawn McEachern,,None
1997-04-26,COL,CHI,1,17:28,United Center,Tony Amonte,Unassisted,None
1997-04-27,DAL,EDM,1,13:25,Edmonton Coliseum,Mike Grier,,
1997-04-27,ANA,PHX,3,17:44,America West Arena,Keith Tkachuk,,
1997-04-29,OTT,BUF,1,10:50,Marine Midland Arena,Shawn McEachern,,
1997-04-29,PHX,ANA,2,08:19,Arrowhead Pond,Joe Sacco,,
1997-05-04,EDM,COL,1,13:52,McNichols Sports Arena,Scott Young,,
1997-05-08,DET,ANA,1,03:01,Arrowhead Pond,Joe Sacco,,
1997-05-09,BUF,PHI,4,06:24,CoreStates Center,Ed Ronan,,
1997-05-17,DET,COL,1,18:37,McNichols Sports Arena,Scott Young,,
1997-05-24,DET,COL,2,18:04,McNichols Sports Arena,Scott Young,,
1997-05-26,COL,DET,3,14:48,Joe Louis Arena,Scott Young,,
1998-04-24,PHX,DET,2,13:51,Joe Louis Arena,Keith Tkachuk,,
1998-04-24,PHX,DET,1,11:00,Joe Louis Arena,Keith Tkachuk,,
1998-04-30,EDM,COL,3,19:05,McNichols Sports Arena,Mike Grier,,None
1998-04-30,EDM,COL,3,13:11,McNichols Sports Arena,Mike Grier,,
1998-05-03,DET,PHX,2,02:02,America West Arena,Keith Tkachuk,,
1999-04-22,PIT,NJD,3,19:29,Continental Airlines Arena,Jay Pandolfo,,None
1999-04-23,EDM,DAL,3,08:32,Reunion Arena,Mike Grier,,
1999-04-23,BUF,OTT,2,02:53,Corel Centre,Shawn McEachern,,
1999-04-25,PHX,STL,1,07:19,Kiel Center,Keith Tkachuk,,
1999-04-27,OTT,BUF,2,10:32,Marine Midland Arena,Shawn McEachern,,
1999-04-30,STL,PHX,4,05:43,America West Arena,Scott Young,,
1999-05-02,PHX,STL,1,08:25,Kiel Center,Scott Young,,None
1999-05-08,STL,DAL,2,00:53,Reunion Arena,Scott Young,,None
1999-05-11,COL,DET,2,03:42,Joe Louis Arena,Chris Drury,,
1999-05-13,COL,DET,1,01:28,Joe Louis Arena,Chris Drury,,
1999-05-15,STL,DAL,2,11:19,Reunion Arena,Scott Young,Unassisted,None
1999-05-18,COL,DET,2,05:46,Joe Louis Arena,Chris Drury,,
1999-05-28,DAL,COL,4,19:29,McNichols Sports Arena,Chris Drury,,None
1999-05-30,COL,DAL,2,03:25,Reunion Arena,Chris Drury,Unassisted,None
1999-05-30,COL,DAL,3,13:16,Reunion Arena,Chris Drury,,None
2000-04-15,PHX,COL,1,03:31,Pepsi Center,Chris Drury,,
2000-04-17,COL,PHX,2,00:49,America West Arena,Keith Tkachuk,,
2000-04-17,STL,SJS,1,15:14,San Jose Arena,Scott Young,,
2000-04-21,SJS,STL,3,19:26,Kiel Center,Scott Young,,
2000-04-23,STL,SJS,2,14:22,San Jose Arena,Scott Young,,
2000-04-23,STL,SJS,1,12:31,San Jose Arena,Scott Young,,
2000-04-23,STL,SJS,2,00:21,San Jose Arena,Scott Young,,
2000-04-25,SJS,STL,3,02:09,Kiel Center,Scott Young,,None
2000-04-29,DET,COL,3,19:01,Pepsi Center,Chris Drury,,None
2000-05-03,COL,DET,4,10:21,Joe Louis Arena,Chris Drury,,
2000-05-25,DAL,COL,3,16:09,Pepsi Center,Chris Drury,,None
2001-04-12,SJS,STL,3,00:38,Savvis Center,Scott Young,,
2001-04-12,VAN,COL,3,18:53,Pepsi Center,Chris Drury,,None
2001-04-12,VAN,COL,2,05:35,Pepsi Center,Chris Drury,,None
2001-04-16,COL,VAN,2,08:37,General Motors Place,Chris Drury,,None
2001-04-17,STL,SJS,1,19:59,San Jose Arena,Keith Tkachuk,,
2001-04-18,COL,VAN,2,17:30,General Motors Place,Chris Drury,,
2001-04-19,SJS,STL,1,07:07,Savvis Center,Scott Young,,
2001-04-26,LAK,COL,1,15:59,Pepsi Center,Chris Drury,,
2001-04-29,STL,DAL,1,09:32,Reunion Arena,Scott Young,,None
2001-05-02,COL,LAK,2,18:13,STAPLES Center,Chris Drury,Unassisted,None
2001-05-03,DAL,STL,2,14:37,Savvis Center,Keith Tkachuk,,
2001-05-03,DAL,STL,3,18:36,Savvis Center,Scott Young,Keith Tkachuk,None
2001-05-09,LAK,COL,3,03:03,Pepsi Center,Chris Drury,,
2001-05-12,STL,COL,2,00:25,Pepsi Center,Scott Young,Unassisted,None
2001-05-14,STL,COL,3,19:52,Pepsi Center,Chris Drury,,None
2001-05-15,PIT,NJD,1,08:52,Continental Airlines Arena,Jay Pandolfo,,
2001-05-16,COL,STL,5,10:27,Savvis Center,Scott Young,,
2001-05-26,NJD,COL,2,09:35,Pepsi Center,Chris Drury,,
2001-06-02,COL,NJD,2,13:54,Continental Airlines Arena,Chris Drury,,
2001-06-07,COL,NJD,2,18:27,Continental Airlines Arena,Chris Drury,,
2002-04-19,VAN,DET,2,13:13,Joe Louis Arena,Scott Lachance,Unassisted,None
2002-04-20,LAK,COL,3,08:45,Pepsi Center,Chris Drury,,None
2002-04-21,STL,CHI,2,19:10,United Center,Scott Young,Unassisted,None
2002-04-23,TOR,NYI,3,04:07,Nassau Veterans Memorial Coliseum,Shawn Bates,,
2002-04-24,TOR,NYI,3,17:30,Nassau Veterans Memorial Coliseum,Shawn Bates,Unassisted,None
2002-04-25,CHI,STL,3,15:56,Savvis Center,Keith Tkachuk,,None
2002-04-25,CHI,STL,2,14:21,Savvis Center,Scott Young,,
2002-04-26,NYI,TOR,3,13:51,Air Canada Centre,Adrian Aucoin,Shawn Bates,
