date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
2023-04-21,BOS,FLA,2,06:00,FLA Live Arena,Charlie Coyle,,
2023-04-22,VGK,WPG,2,10:46,Canada Life Centre,Jack Eichel,,
2023-04-22,VGK,WPG,1,06:18,Canada Life Centre,Jack Eichel,,
2023-04-26,SEA,COL,3,16:23,Ball Arena,Evan Rodrigues,,
2023-05-03,EDM,VGK,3,19:26,T-Mobile Arena,Jack Eichel,Unassisted,None
2023-05-08,VGK,EDM,2,12:03,Rogers Place,Jack Eichel,,None
2023-05-12,EDM,VGK,1,03:52,T-Mobile Arena,Jack Eichel,,
2024-04-24,VGK,DAL,3,19:26,American Airlines Center,Jack Eichel,,None
2024-04-27,DAL,VGK,2,13:50,T-Mobile Arena,Jack Eichel,,None
2024-04-29,TBL,FLA,3,14:16,Amerant Bank Arena,Evan Rodrigues,,
2024-04-29,DAL,VGK,2,03:09,T-Mobile Arena,Jack Eichel,,
2024-05-08,BOS,FLA,1,12:12,Amerant Bank Arena,Charlie Coyle,,
2024-05-10,FLA,BOS,1,08:04,TD Garden,Evan Rodrigues,,None
2024-05-10,FLA,BOS,3,19:09,TD Garden,Evan Rodrigues,,
2024-05-14,BOS,FLA,2,10:25,Amerant Bank Arena,Charlie McAvoy,Charlie Coyle,
2024-06-08,EDM,FLA,2,02:16,Amerant Bank Arena,Evan Rodrigues,,
2024-06-10,EDM,FLA,3,03:11,Amerant Bank Arena,Evan Rodrigues,Unassisted,None
2024-06-10,EDM,FLA,3,12:26,Amerant Bank Arena,Evan Rodrigues,,
2024-06-18,EDM,FLA,2,12:08,Amerant Bank Arena,Evan Rodrigues,,
2025-04-19,COL,DAL,3,17:03,American Airlines Center,Charlie Coyle,,
2025-04-22,OTT,TOR,2,15:41,Scotiabank Arena,Brady Tkachuk,,
2025-04-24,TOR,OTT,3,11:22,Canadian Tire Centre,Brady Tkachuk,,
2025-04-29,OTT,TOR,3,19:13,Scotiabank Arena,Brady Tkachuk,,None
2025-05-01,TOR,OTT,2,07:28,Canadian Tire Centre,Brady Tkachuk,,
2025-05-01,VGK,MIN,2,16:12,Xcel Energy Center,Jack Eichel,,
2025-05-14,FLA,TOR,3,06:23,Scotiabank Arena,A.J. Greer,,
2025-05-20,FLA,CAR,2,03:33,Lenovo Center,A.J. Greer,,
2025-05-28,FLA,CAR,2,07:53,Lenovo Center,Evan Rodrigues,,
2025-06-09,EDM,FLA,3,16:10,Amerant Bank Arena,Evan Rodrigues,,
2026-04-21,MTL,TBL,1,16:11,Benchmark International Arena,Lane Hutson,,
2026-04-22,PIT,PHI,2,05:18,Xfinity Mobile Arena,Trevor Zegras,,
2026-04-24,TBL,MTL,4,02:09,Centre Bell,Lane Hutson,,
2026-04-24,VGK,UTA,2,13:20,Delta Center,Jack Eichel,,
