Year,Name,Award
2024-25,Marie-Philip Poulin (MTL),Billie Jean King Most Valuable Player
2024-25,Marie-Philip Poulin (MTL),PWHL Forward of the Year
2024-25,Marie-Philip Poulin (MTL),PWHL Top Goal Scorer Award
2024-25,Rebecca Leslie (OTT),PWHL Intact Impact Award
