trophy,years won,type
National Runner-Up,"2011, 2013",National
Frozen Four,"2011, 2013",National
NCAA Tournament Appearance,"2010, 2011, 2012, 2013, 2014, 2015, 2025",National
Hockey East Tournament,"2010, 2012, 2013, 2014, 2015, 2025",Conference
Hockey East Regular Season,"2011, 2013",Conference
Beanpot,"1981, 2019",Mid-Season Tournament
Friendship Series,2025,Mid-Season Tournament
