season,teamName,name
2023–24,PWHL Boston,"Sammy Davis, Kaleigh Fratkin, Abby Cook"
2023–24,PWHL Montreal,"Sarah LeFort, Marie-Philip Poulin"
2023–24,PWHL Toronto,"Victoria Bach, Rebecca Leslie,Jesse Compher"
2024–25,Ottawa Charge,"Victoria Bach, Rebecca Leslie"
2025-26,Montreal Victoire,"Marie-Philip Poulin, Tamara Giaquinto"
