Name,Draft,Round,Pick,Pick In Round,Team
Jesse Compher,2023,5,26,2,PWHL Toronto
Corinne Schroeder,2023,6,33,3,PWHL New York
Victoria Bach,2023,7,38,2,PWHL Toronto
Rebecca Leslie,2023,12,71,5,PWHL Toronto
Tamara Giaquinto,2025,6,44,4,Montreal Victoire
Callie Shanahan,2025,4,28,4,New York Sirens
Andrea Brändli,2026,2,15,2,PWHL Detroit
Brooke Disher,2026,3,32,8,Toronto Sceptres
Sydney Healey,2026,6,65,5,PWHL Las Vegas
Maeve Kelly,2026,6,70,10,Boston Fleet
