29	Rick DiPietro	FR	29	1788	73	762	0.913	2.45	18-5-5	2	1999-00
83	Jason Tapp	SO	15				0.879	3.12	--	1	1999-00
31	Sean Fields	FR	16	949	40	372	0.904	2.53	--	1	2000-01
83	Jason Tapp	JR	23				0.893	3.37	--		2000-01
39	Andy Warren	JR	2				0.833	7.76	--		2000-01
31	Sean Fields	SO	33	1935	88	796	0.9	2.73	--	1	2001-02
83	Jason Tapp	SR	7				0.867	3.31	--		2001-02
31	Sean Fields	JR	40	2435:16	101	1035	.911	2.49	24-13-3	4	2002-03
1	Stephan Siwiec	FR	3	144:00	9	47	.839	3.75	1-1-0	0	2002-03
39	Andy Warren	JR	1	3:44	0	1	1.000	0.00	0-0-0	0	2002-03
31	Sean Fields	SR	34	1988:11	93	852	.902	2.81	10-16-7	1	2003-04
1	Stephan Siwiec	SO	7	327:34	13	141	.916	2.38	2-1-2	0	2003-04
39	John Curry	FR	1	5:10	0	2	1.000	0.00	0-0-0	0	2003-04
36	John Curry	SO	33	1949:40	64	769	.923	1.97	18-11-3	3	2004-05
1	Stephan Siwiec	JR	9	484:35	25	199	.888	3.10	5-2-1	0	2004-05
33	Karson Gillespie	FR	2	49:17	7	20	.741	8.52	0-1-0	0	2004-05
36	John Curry	JR	37	2166:01	81	907	.918	2.24	24-8-4	3	2005-06
29	Karson Gillespie	SO	4	220:27	9	107	.922	2.45	2-1-0	1	2005-06
1	Stephan Siwiec	SR	3	40:03	2	11	.846	3.00	0-1-0	0	2005-06
36	John Curry	SR	36	2154:20	72	928	.928	2.01	17-10-8	7	2006-07
29	Karson Gillespie	JR	4	179:20	3	65	.956	1.00	2-0-1	1	2006-07
31	Brett Bennett	FR	1	59:43	1	17	.944	1.00	1-0-0	0	2006-07
31	Brett Bennett	SO	31	1780:29	78	618	.888	2.63	16-10-3	3	2007-08
29	Karson Gillespie	SR	12	517:10	27	177	.868	3.13	2-6-1	1	2007-08
32	Adam Kraus	FR	2	118:47	8	48	.857	4.04	1-1-0	0	2007-08
31	Kieran Millan	FR	35	2072:50	67	776	.921	1.94	29-2-3	3	2008-09
35	Grant Rollheiser	FR	12	647:47	23	201	.897	2.13	6-4-1	1	2008-09
31	Kieran Millan	SO	32	1868:36	98	797	.891	3.15	16-16-0	1	2009-10
35	Grant Rollheiser	SO	7	388:49	22	156	.876	3.39	2-1-3	0	2009-10
32	Adam Kraus	JR	2	21:30	1	15	.938	2.79	0-0-0	0	2009-10
31	Kieran Millan	JR	36	2126:31	95	1085	.919	2.68	16-10-8	1	2010-11
35	Grant Rollheiser	JR	5	241:10	16	123	.885	3.98	3-2-0	0	2010-11
32	Adam Kraus	SR	1	4:59	0	2	1.000	0.00	0-0-0	0	2010-11
31	Kieran Millan	SR	35	2120:22	92	1110	.923	2.60	20-14-1	3	2011-12
35	Grant Rollheiser	SR	7	292:55	14	133	.905	2.87	3-1-0	1	2011-12
31	Sean Maguire	FR	21	1230:27	52	653	.926	2.54	13-8-0	4	2012-13
29	Matt O'Connor	FR	19	1110:10	53	539	.910	2.86	8-8-2	0	2012-13
29	Matt O'Connor	SO	22	1224:49	59	678	.920	2.89	7-9-4	0	2013-14
31	Sean Maguire	SO	16	867:53	42	478	.919	2.90	3-12-0	0	2013-14
1	Anthony Moccia	SR	2	6:00	1	2	.667	10.00	0-0-0	0	2013-14
29	Matt O'Connor	JR	35	2087:43	76	964	.927	2.18	25-4-4	2	2014-15
30	Connor LaCouvee	FR	8	417:53	18	190	.913	2.58	3-4-1	0	2014-15
1	Anthony Moccia	SR	2	4:21	0	1	1.000	0.00	0-0-0	0	2014-15
31	Sean Maguire	SR	25	1371:32	55	630	.920	2.41	13-9-1	1	2015-16
30	Connor LaCouvee	SO	19	986:12	48	419	.897	2.92	8-4-4	0	2015-16
29	Jake Oettinger	FR	35	2131:17	75	957	.927	2.11	21-11-3	4	2016-17
30	Connor LaCouvee	JR	5	244:03	11	128	.921	2.70	3-1-0	0	2016-17
29	Jake Oettinger	SO	38	2325:15	95	1021	.915	2.45	21-13-4	5	2017-18
31	Max Prawdzik	JR	3	125:10	5	53	.914	2.40	1-1-0	1	2017-18
30	Jake Oettinger	JR	36	2110:06	86	1076	.926	2.45	16-16-4	4	2018-19
29	Vinnie Purpura	FR	4	151:55	8	82	.911	3.16	0-2-0	0	2018-19
31	Max Prawdzik	JR	3	46:23	2	16	.889	2.59	0-0-0	0	2018-19
31	Sam Tucker	SR	26	1484:22	62	661	.914	2.51	10-8-6	3	2019-20
30	Ashton Abel	FR	9	494:54	26	213	.891	3.15	3-3-2	1	2019-20
29	Vinnie Purpura	SO	2	73:32	6	37	.860	4.90	0-2-0	0	2019-20
1	Nico Lynch	SR	1	7:12	1	4	.800	8.33	0-0-0	0	2019-20
29	Drew Commesso	FR	11	641:24	32	346	.915	2.99	6-3-1	0	2020-21
31	Vinny Duplessis	FR	5	253:01	7	107	.939	1.66	4-1-0	1	2020-21
30	Ashton Abel	SO	2	77:09	5	38	.884	3.89	0-1-0	0	2020-21
31	Vinny Duplessis	SO	17	517:24	18	194	.915	2.09	6-2-0	2	2021-22
29	Drew Commesso	SO	28	1595:15	67	715	.914	2.52	13-11-3	1	2021-22
30	Ashton Abel	JR	5	00:00	0	0	.000	.00	0-0-0	0	2021-22
31	Vinny Duplessis	JR	14	484:39	20	186	.903	2.48	5-3-0	1	2022-23
29	Drew Commesso	JR	34	1924:29	79	823	.912	2.46	24-8-0	2	2022-23
30	Patrick Schena	GR	5	00:09	0	0	.000	.00	0-0-0	0	2022-23
29	Nick Howard	GR	1	00:06	0	0	.000	.00	0-0-0	0	2023-24
30	Henry Graham	SR	2	05:16	0	2	1.000	.00	0-0-0	0	2023-24
62	Mathieu Caron	JR	40	2402:25	94	1017	.915	2.35	28-10-2	2	2023-24
33	Max Lacroix	FR	2	11:12	0	6	1.000	.00	0-0-0	0	2023-24
1	Billy Girard IV	GR	4	05:15	1	4	.800	11.43	0-0-0	0	2024-25
62	Mathieu Caron	SR	21	1139:28	60	532	.899	3.16	12-6-1	0	2024-25
33	Max Lacroix	SO	6	200:18	12	82	.872	3.59	1-2-0	0	2024-25
40	Mikhail Yegorov	FR	18	1058:54	38	486	.927	2.15	11-6-1	1	2024-25
1	Steven Luciano	FR	0	00:00	0	0	.000	.00	0-0-0	0	2025-26
30	Jack Perry	SR	0	00:00	0	0	.000	.00	0-0-0	0	2025-26
33	Max Lacroix	JR	3	85:20	6	46	0.885	4.22	0-2-0	0	2025-26
40	Mikhail Yegorov	SO	25	1417:25	67	615	0.902	2.84	12-10-1	2	2025-26
