02/05/1957,Boston College,Henry Levin,,32,5,1,0,60,L,1956-57
02/09/1957,Army,Henry Levin,,30,5,1,0,60,W,1956-57
02/18/1957,Northeastern,Henry Levin,,39,4,1,0,60,L,1956-57
02/25/1957,Boston College,Henry Levin,,28,4,1,0,60,T,1956-57
12/04/1957,Brown,Bill Tansey,,9,0,1,0,30,,1957-58
12/04/1957,Brown,Henry Levin,,11,0,1,0,30,,1957-58
12/07/1957,Harvard,Bill Tansey,,30,3,1,0,60,W,1957-58
12/11/1957,Yale,Bill Tansey,,21,3,1,0,60,W,1957-58
12/19/1957,Clarkson,Bill Tansey,,22,4,1,0,60,W,1957-58
12/26/1957,Providence,Bill Tansey,,9,3,1,0,60,W,1957-58
12/27/1957,Dartmouth,Henry Levin,,19,2,1,0,60,W,1957-58
12/28/1957,Brown,Bill Tansey/Henry Levin,,18,3,1,0,60,W,1957-58
01/03/1958,Princeton,Bill Tansey/Henry Levin,,17,2,1,0,60,W,1957-58
01/07/1958,Northeastern,Bill Tansey/Henry Levin,,18,2,1,0,60,W,1957-58
01/14/1958,Harvard,Bill Tansey,,31,5,1,0,60,L,1957-58
02/03/1958,Boston College,Bill Tansey,,16,4,1,0,60,W,1957-58
02/05/1958,Army,Bill Tansey,,11,3,1,0,60,W,1957-58
02/10/1958,Northeastern,Bill Tansey/Henry Levin,,23,3,1,0,60,W,1957-58
02/25/1958,Boston College,Bill Tansey,,28,5,1,0,60,,1957-58
03/01/1958,Dartmouth,Bill Tansey,,12,2,1,0,60,W,1957-58
12/02/1958,Providence,Bill Tansey,,14,1,1,0,60,T,1958-59
12/02/1958,Providence,Henry Levin,,4,1,1,0,60,T,1958-59
12/08/1958,Harvard,Ron Tanner,,21,5,1,0,60,T,1958-59
12/13/1958,Princeton,Ron Tanner/Barry Urbanski,,19,2,1,0,60,W,1958-59
12/17/1958,St. Lawrence,Ron Tanner,,28,3,1,0,60,W,1958-59
12/18/1958,Clarkson,Ron Tanner,,29,6,1,0,60,L,1958-59
12/22/1958,Rensselaer,Ron Tanner,,25,5,1,0,60,L,1958-59
12/26/1958,Brown,Ron Tanner,,11,2,1,0,60,W,1958-59
12/26/1958,Brown,Bill Tansey,,8,1,1,0,60,W,1958-59
12/29/1958,Michigan State,Ron Tanner,,21,3,1,0,60,,1958-59
01/29/1959,Dartmouth,Ron Tanner,,25,7,1,0,60,L,1958-59
02/02/1959,Northeastern,Ron Tanner,,25,4,1,0,60,W,1958-59
02/17/1959,Dartmouth,Ron Tanner,,26,2,1,0,60,W,1958-59
02/20/1959,St. Lawrence,Ron Tanner,,31,4,1,0,60,L,1958-59
03/02/1959,Harvard,Ron Tanner,,27,2,1,0,60,W,1958-59
12/16/1959,St. Lawrence,Bill Tansey,,36,2,1,0,60,W,1959-60
01/06/1960,Clarkson,Bill Tansey,,26,2,1,0,60,W,1959-60
01/09/1960,Rensselaer,Bill Tansey,,14,9,1,0,60,L,1959-60
01/12/1960,Providence,Barry Urbanski,,32,1,1,0,60,W,1959-60
01/16/1960,Army,Barry Urbanski,,19,0,1,1,60,W,1959-60
02/01/1960,Northeastern,Bill Tansey,,23,1,1,0,60,W,1959-60
02/08/1960,Boston College,Barry Urbanski,,44,2,1,0,60,W,1959-60
02/10/1960,Harvard,Barry Urbanski,,23,5,1,0,60,L,1959-60
02/20/1960,Clarkson,Barry Urbanski,,28,3,1,0,60,W,1959-60
03/04/1960,Rensselaer,Barry Urbanski,,50,3,1,0,60,W,1959-60
03/11/1960,Dartmouth,Barry Urbanski,,22,1,1,0,60,W,1959-60
03/18/1960,Denver,Barry Urbanski,,39,6,1,0,60,L,1959-60
03/19/1960,St. Lawrence,Barry Urbanski,,29,6,1,0,60,W,1959-60
12/10/1960,Princeton,Barry Urbanski,,25,2,1,0,60,W,1960-61
01/06/1961,St. Lawrence,Barry Urbanski,,43,4,1,0,60,W,1960-61
01/30/1961,Northeastern,Barry Urbanski,,29,4,1,0,60,W,1960-61
