Season,Name,Team
2017–18,Rebecca Russo,Metropolitan Riveters
2020–21,Kaleigh Fratkin,Boston Pride
2020–21,Mary Parker,Boston Pride
2021–22,Kaleigh Fratkin,Boston Pride
2021–22,Mary Parker,Boston Pride
2022–23,Alexis Woloschuk,Toronto Six
