name,seasonType,season,team,gp,mins,ga,gaa,saves,sv%,w,l,t,SO
Corinne Schroeder,Regular Season,2023-24,PWHL New York,15,901.4,36,2.4,475,0.93,7,7,0,1
Corinne Schroeder,Regular Season,2024-25,New York Sirens,20,1162.18333333333,47,2.43,530,0.919,10,9,0,4
Callie Shanahan,Regular Season,2025-26,New York Sirens,4,218.183333333333,11,3.02,74,0.871,1,2,0,0
Corinne Schroeder,Regular Season,2025-26,Seattle Torrent,17,1008.93333333333,43,2.56,462,0.915,5,9,0,0
