No.,date,opponent,arena,scoreline,goalie,saves
149,2011-10-08,New Hampshire,Agganis Arena,5-0,Kieran Millan,35
150,2011-11-13,Boston College,Conte Forum,5-0,Kieran Millan,21
151,2012-01-21,Providence,Schneider Arena,8-0,Kieran Millan,26
152,2012-02-24,Vermont,Gutterson Fieldhouse,5-0,Grant Rollheiser,18
153,2012-11-24,St. Lawrence,Agganis Arena,4-0,Sean Maguire,21
154,2012-12-08,Maine,Agganis Arena,1-0,Sean Maguire,28
155,2013-03-09,Northeastern,Agganis Arena,5-0,Sean Maguire,25
156,2013-03-15,Merrimack,Agganis Arena,3-0,Sean Maguire,30
157,2014-10-24,Michigan State,Agganis Arena,1-0,Matt O'Connor,29
158,2015-03-14,Merrimack,Agganis Arena,5-0,Matt O'Connor,26
159,2015-11-24,Bentley,Agganis Arena,3-0,Sean Maguire,15
160,2016-10-21,Sacred Heart,Agganis Arena,7-0,Jake Oettinger,24
161,2016-10-22,Quinnipiac,Agganis Arena,3-0,Jake Oettinger,22
162,2016-12-10,Vermont,Gutterson Fieldhouse,4-0,Jake Oettinger,28
163,2017-01-16,Boston College,Conte Forum,3-0,Jake Oettinger,34
164,2017-11-03,Providence,Agganis Arena,2-0,Jake Oettinger,31
165,2017-11-11,New Hampshire,Agganis Arena,4-0,Max Prawdzik,29
166,2017-11-18,Maine,Cross Arena,7-0,Jake Oettinger,30
167,2018-01-26,Arizona State,Gila River Arena,8-0,Jake Oettinger,23
168,2018-02-23,Vermont,Agganis Arena,2-0,Jake Oettinger,33
169,2018-03-17,Providence,TD Garden,2-0,Jake Oettinger,30
170,2018-12-01,Boston College,Conte Forum,0-0,Jake Oettinger,42
171,2019-02-16,UConn,Agganis Arena,2-0,Jake Oettinger,26
172,2019-02-22,Vermont,Gutterson Fieldhouse,1-0,Jake Oettinger,29
173,2019-03-15,UMass Lowell,Tsongas Center,3-0,Jake Oettinger,25
174,2019-10-26,New Hampshire,Agganis Arena,3-0,Sam Tucker,32
175,2019-11-22,Vermont,Agganis Arena,3-0,Sam Tucker,26
176,2020-01-24,UMass Lowell,Agganis Arena,5-0,Ashton Abel,17
177,2020-03-06,Northeastern,Matthews Arena,3-0,Sam Tucker,16
178,2021-02-12,Vermont,Gutterson Fieldhouse,1-0,Vinny Duplessis,18
179,2022-01-22,Vermont,Agganis Arena,4-0,Drew Commesso,35
180,2022-02-04,Maine,Agganis Arena,4-0,Vinny Duplessis,27
181,2022-02-14,Northeastern,TD Garden,1-0,Vinny Duplessis,19
182,2022-12-03,New Hampshire,Agganis Arena,3-0,Vinny Duplessis,22
183,2023-02-25,Vermont,Gutterson Fieldhouse,3-0,Drew Commesso,23
184,2023-03-04,Providence,Schneider Arena,2-0,Drew Commesso,39
185,2024-01-13,New Hampshire,Agganis Arena,3-0,Mathieu Caron,36
186,2024-02-24,Connecticut,Agganis Arena,6-0,Mathieu Caron,23
187,2025-02-15,Providence,Agganis Arena,3-0,Mikhail Yegorov,30
188,2026-01-09,Massachusetts,Mullins Center,1-0,Mikhail Yegorov,18
189,2026-01-17,UMass Lowell,Tsongas Center,3-0,Mikhail Yegorov,23
