opponent,OppoConference,season
New Hampshire,ECAC 2,1964-66
New Hampshire,ECAC,1961-64
New Hampshire,ECAC,1966-84
New Hampshire,Hockey East,1984-24
New Hampshire,Independent,1924-36
New Hampshire,Independent,1954-61
New Hampshire,NEIHL,1936-54
New Haven Club,Non-Collegiate,1920-88
Niagara,Atlantic Hockey,2010-24
Niagara,CHA,1999-10
Niagara,Independent,1997-99
Nichols Club,Non-Collegiate,1920-88
North Dakota,Independent,1929-51
North Dakota,Independent,1958-59
North Dakota,MCHL,1951-53
North Dakota,NCHC,2013-24
North Dakota,WCHA,1959-13
North Dakota,WIHL,1953-58
Northeastern,ECAC,1961-84
Northeastern,Hockey East,1984-24
Northeastern,Independent,1929-36
Northeastern,Independent,1955-61
Northeastern,NEIHL,1936-55
Northern Arizona,Independent,1920-88
Northern Michigan,CCHA,1977-84
Northern Michigan,CCHA,1997-13
Northern Michigan,CCHA,2021-24
Northern Michigan,Independent,1976-77
Northern Michigan,WCHA,1984-97
Northern Michigan,WCHA,2013-21
Norwich,Independent,1954-61
Norwich,NEIHL,1942-54
Notre Dame,Big Ten,2017-24
Notre Dame,CCHA,1981-13
Notre Dame,Hockey East,2013-17
Notre Dame,Independent,1911-71
Notre Dame,WCHA,1971-81
Ohio State,Big Ten,2013-24
Ohio State,CCHA,1971-73
Ohio State,CCHA,1975-13
Ohio State,Independent,1963-71
Ohio State,Independent,1973-75
Ohio University,CCHA,1970-72
Pennsylvania,ECAC,1920-88
Princeton,ECAC,1961-24
Princeton,IHA,1899-14
Princeton,IHL,1914-17
Princeton,Independent,1918-19
Princeton,Independent,1926-32
Princeton,Independent,1945-46
Princeton,Independent,1955-61
Princeton,Pentagonal League,1946-55
Princeton,Quadrangular League,1932-43
Princeton,Triangular League,1919-26
Providence,ECAC,1961-84
Providence,Hockey East,1984-24
Providence,Independent,1926-61
Queen's,Independent,1920-88
Quinnipiac,Atlantic Hockey,2003-05
Quinnipiac,ECAC,2005-24
Quinnipiac,MAAC,1998-03
Rensselaer,ECAC,1961-24
Rensselaer,Independent,1901-50
Rensselaer,Tri-State League,1951-61
Robert Morris,Atlantic Hockey,2010-24
Robert Morris,CHA,2004-10
Royal Military Coll.,Independent,1920-88
