number,date,team,goalie,opponent,scoreline,arena,saves
1,2024-01-01,PWHL New York,Corinne Schroeder,PWHL Toronto,4-0,Mattamy Athletic Centre,29
2,2025-01-04,New York Sirens,Corinne Schroeder,Minnesota Frost,5-0,Xcel Energy Center,26
3,2025-01-12,New York Sirens,Corinne Schroeder,Toronto Sceptres,1-0,Prudential Center,28
4,2025-04-01,New York Sirens,Corinne Schroeder,Montréal Victoire,1-0,Place Bell,16
5,2025-04-27,New York Sirens,Corinne Schroeder,Minnesota Frost,2-0,Xcel Energy Center,33
