last,first,name,height,DOB,homeTown,year,season,city,state,country
Elliott,Bob,Bob Elliott,-,10/11/1907,"Medford, Massachusetts",1927,1927-28,Medford,Massachusetts,United States
Baron,Leo,Leo Baron,-,,,1927,1927-28,,,
Currier,Benjamin,Benjamin Currier,-,,,1927,1927-28,,,
Gibson,William,William Gibson,-,,,1927,1927-28,,,
Goodale,William,William Goodale,-,,,1927,1927-28,,,
Gregoire,Ovila,Ovila Gregoire,-,,,1927,1927-28,,,
Grodberg,Burton,Burton Grodberg,-,,,1927,1927-28,,,
Lawless,John,John Lawless,-,,,1927,1927-28,,,
Lombard,Richard,Richard Lombard,-,,,1927,1927-28,,,
Nelson,Hugo,Hugo Nelson,-,,,1927,1927-28,,,
Viano,Charles,Charles Viano,-,,,1927,1927-28,,,
Whitmore,Holmes,Holmes Whitmore,-,,,1927,1927-28,,,
Silberberg,Sydney,Sydney Silberberg,-,,,1927,1927-28,,,
Elliott,Bob,Bob Elliott,-,10/11/1907,"Medford, Massachusetts",1928,1928-29,Medford,Massachusetts,United States
Baron,Leo,Leo Baron,-,,,1928,1928-29,,,
Bergholtz,Paul,Paul Bergholtz,-,,,1928,1928-29,,,
Borofsky,Isidore,Isidore Borofsky,-,,,1928,1928-29,,,
Currier,Benjamin,Benjamin Currier,-,,,1928,1928-29,,,
Fredrickson,W.,W. Fredrickson,-,,,1928,1928-29,,,
Gibson,William,William Gibson,-,,,1928,1928-29,,,
Goddard,Holmes,Holmes Goddard,-,,,1928,1928-29,,,
Grodberg,Burton,Burton Grodberg,-,,,1928,1928-29,,,
Lombard,Richard,Richard Lombard,-,,,1928,1928-29,,,
Nelson,Hugo,Hugo Nelson,-,,,1928,1928-29,,,
Roblin,Stephen,Stephen Roblin,-,,,1928,1928-29,,,
Snow,Randell,Randell Snow,-,,,1928,1928-29,,,
Whitmore,Holmes,Holmes Whitmore,-,,,1928,1928-29,,,
Silberberg,Sydney,Sydney Silberberg,-,,,1928,1928-29,,,
Elliott,Bob,Bob Elliott,-,10/11/1907,"Medford, Massachusetts",1929,1929-30,Medford,Massachusetts,United States
Arkin,Jacob,Jacob Arkin,-,,,1929,1929-30,,,
Baron,Leo,Leo Baron,-,,,1929,1929-30,,,
Bergholtz,Paul,Paul Bergholtz,-,,,1929,1929-30,,,
Borofsky,Isidore,Isidore Borofsky,-,,,1929,1929-30,,,
Brown,George,George Brown,-,,,1929,1929-30,,,
Clem,Carl,Carl Clem,-,,,1929,1929-30,,,
Currier,Benjamin,Benjamin Currier,-,,,1929,1929-30,,,
French,Richard,Richard French,-,,,1929,1929-30,,,
Goddard,Holmes,Holmes Goddard,-,,,1929,1929-30,,,
Grodberg,Burton,Burton Grodberg,-,,,1929,1929-30,,,
Lombard,Richard,Richard Lombard,-,,,1929,1929-30,,,
Nelson,Hugo,Hugo Nelson,-,,,1929,1929-30,,,
Peterson,Carlton,Carlton Peterson,-,,,1929,1929-30,,,
Raymond,Albert,Albert Raymond,-,,,1929,1929-30,,,
Weafer,Ronald,Ronald Weafer,-,,,1929,1929-30,,,
Whitmore,Holmes,Holmes Whitmore,-,,,1929,1929-30,,,
Baron,Leo,Leo Baron,-,,,1930,1930-31,,,
Bender,Walter,Walter Bender,-,11/1/1910,"Arlington, Massachusetts",1930,1930-31,Arlington,Massachusetts,United States
Bergholtz,Paul,Paul Bergholtz,-,,,1930,1930-31,,,
Brown,George,George Brown,-,,,1930,1930-31,,,
Clem,Carl,Carl Clem,-,,,1930,1930-31,,,
French,Richard,Richard French,-,,,1930,1930-31,,,
Grodberg,Burton,Burton Grodberg,-,,,1930,1930-31,,,
Harrington,Daniel,Daniel Harrington,-,,,1930,1930-31,,,
Herman,Nathan,Nathan Herman,-,,,1930,1930-31,,,
Lombard,Richard,Richard Lombard,-,,,1930,1930-31,,,
Peterson,Carlton,Carlton Peterson,-,,,1930,1930-31,,,
Raymond,Albert,Albert Raymond,-,,,1930,1930-31,,,
Toohey,Paul,Paul Toohey,-,,,1930,1930-31,,,
Walker,John,John Walker,-,,,1930,1930-31,,,
Weafer,Ronald,Ronald Weafer,-,,,1930,1930-31,,,
Whitmore,Holmes,Holmes Whitmore,-,,,1930,1930-31,,,
Wilson,Arthur,Arthur Wilson,-,,,1930,1930-31,,,
Wight,Russell,Russell Wight,-,,,1931,1931-32,,,
Bender,Walter,Walter Bender,-,11/1/1910,"Arlington, Massachusetts",1931,1931-32,Arlington,Massachusetts,United States
Clem,Carl,Carl Clem,-,,,1931,1931-32,,,
French,Richard,Richard French,-,,,1931,1931-32,,,
Harrington,Daniel,Daniel Harrington,-,,,1931,1931-32,,,
Herman,Nathan,Nathan Herman,-,,,1931,1931-32,,,
McDonald,Joseph,Joseph McDonald,-,,,1931,1931-32,,,
Murphy,Jack,Jack Murphy,-,,,1931,1931-32,,,
Peterson,Carlton,Carlton Peterson,-,,,1931,1931-32,,,
Rice,Lindsey,Lindsey Rice,-,,,1931,1931-32,,,
Slade,Kenneth,Kenneth Slade,-,,,1931,1931-32,,,
Smith,James,James Smith,-,,,1931,1931-32,,,
Ullman,John,John Ullman,-,,,1931,1931-32,,,
Walker,John,John Walker,-,,,1931,1931-32,,,
Weafer,Ronald,Ronald Weafer,-,,,1931,1931-32,,,
Wilson,Arthur,Arthur Wilson,-,,,1931,1931-32,,,
Wight,Russell,Russell Wight,-,,,1932,1932-33,,,
Bell,Robert,Robert Bell,-,,,1932,1932-33,,,
Bender,Walter,Walter Bender,-,11/1/1910,"Arlington, Massachusetts",1932,1932-33,Arlington,Massachusetts,United States
Clem,Carl,Carl Clem,-,,,1932,1932-33,,,
Harrington,Daniel,Daniel Harrington,-,,,1932,1932-33,,,
Hathaway,Kenneth,Kenneth Hathaway,-,,,1932,1932-33,,,
Herman,Nathan,Nathan Herman,-,,,1932,1932-33,,,
Lax,John,John Lax,-,7/23/1911,"Arlington, Massachusetts",1932,1932-33,Arlington,Massachusetts,United States
Lucey,Lawrence,Lawrence Lucey,-,,,1932,1932-33,,,
Nickerson,Robert,Robert Nickerson,-,,,1932,1932-33,,,
Nickerson,Herman,Herman Nickerson,-,,,1932,1932-33,,,
Racheotes,George,George Racheotes,-,,,1932,1932-33,,,
Rice,Lindsey,Lindsey Rice,-,,,1932,1932-33,,,
Rowe,Paul,Paul Rowe,-,5/5/1914,"Somerville, Massachusetts",1932,1932-33,Somerville,Massachusetts,United States
Scammell,Palmer,Palmer Scammell,-,,,1932,1932-33,,,
Smith,Russell,Russell Smith,-,,,1932,1932-33,,,
Smith,James,James Smith,-,,,1932,1932-33,,,
Ullman,John,John Ullman,-,,,1932,1932-33,,,
Walker,John,John Walker,-,,,1932,1932-33,,,
Weafer,Ronald,Ronald Weafer,-,,,1932,1932-33,,,
Wight,Russell,Russell Wight,-,,,1933,1933-34,,,
Borofsky,Sydney,Sydney Borofsky,-,,,1933,1933-34,,,
Gaul,Leo,Leo Gaul,-,,,1933,1933-34,,,
Hartigan,Tom,Tom Hartigan,-,,,1933,1933-34,,,
James,Herbert,Herbert James,-,,,1933,1933-34,,,
Lax,John,John Lax,-,7/23/1911,"Arlington, Massachusetts",1933,1933-34,Arlington,Massachusetts,United States
Lucey,Lawrence,Lawrence Lucey,-,,,1933,1933-34,,,
Nickerson,Robert,Robert Nickerson,-,,,1933,1933-34,,,
Nickerson,Herman,Herman Nickerson,-,,,1933,1933-34,,,
Pierce,Howard,Howard Pierce,-,,,1933,1933-34,,,
Racheotes,George,George Racheotes,-,,,1933,1933-34,,,
Rosenfeld,John,John Rosenfeld,-,,,1933,1933-34,,,
Rowe,Paul,Paul Rowe,-,5/5/1914,"Somerville, Massachusetts",1933,1933-34,Somerville,Massachusetts,United States
Scammell,Palmer,Palmer Scammell,-,,,1933,1933-34,,,
Smith,Russell,Russell Smith,-,,,1933,1933-34,,,
Smith,James,James Smith,-,,,1933,1933-34,,,
Taylor,John,John Taylor,-,,,1933,1933-34,,,
Ullman,John,John Ullman,-,,,1933,1933-34,,,
Wesson,Dexton,Dexton Wesson,-,,,1933,1933-34,,,
Borofsky,Sydney,Sydney Borofsky,-,,,1934,1934-35,,,
Campbell,-,- Campbell,-,,,1934,1934-35,,,
Donohue,Joseph,Joseph Donohue,-,,,1934,1934-35,,,
Hartigan,Tom,Tom Hartigan,-,,,1934,1934-35,,,
James,Herbert,Herbert James,-,,,1934,1934-35,,,
Lax,John,John Lax,-,7/23/1911,"Arlington, Massachusetts",1934,1934-35,Arlington,Massachusetts,United States
Lucey,Lawrence,Lawrence Lucey,-,,,1934,1934-35,,,
Lynch,Russell,Russell Lynch,-,,,1934,1934-35,,,
Miner,-,- Miner,-,,,1934,1934-35,,,
Neilson,Robert,Robert Neilson,-,,,1934,1934-35,,,
Nickerson,Herman,Herman Nickerson,-,,,1934,1934-35,,,
Pierce,Howard,Howard Pierce,-,,,1934,1934-35,,,
Racheotes,George,George Racheotes,-,,,1934,1934-35,,,
Rowe,Paul,Paul Rowe,-,5/5/1914,"Somerville, Massachusetts",1934,1934-35,Somerville,Massachusetts,United States
