Year,Name,Award
1989-90,Rick Meagher (STL),Frank J. Selke Trophy
1989-99,John Cullen (TBL),Bill Masterton Memorial Trophy
1998-99,Chris Drury (COL),Calder Memorial Trophy
2024-25,Lane Hutson (MTL),Calder Memorial Trophy
