number,date,team,goalscorer,opponent,arena
1,01/10/2024,PWHL Montreal,Marie-Philip Poulin,PWHL New York,UBS Arena
2,01/29/2025,Montréal Victoire,Marie-Philip Poulin,Ottawa Charge,Place Bell
