date,opponent,name,pos,yr,goals,assists,points,season
1965-03-06,Colby,Jim Wood,F,SO,0,1,1,1964-65
1965-03-06,Colby,Tom Ross,D,JR,0,1,1,1964-65
1965-03-06,Colby,Fred Bassi,F,SO,0,1,1,1964-65
1965-03-10,Providence,Bruce Fennie,F,JR,0,1,1,1964-65
1965-03-10,Providence,Fred Bassi,F,SO,1,0,1,1964-65
1965-03-10,Providence,Jim Quinn,F,SO,0,2,2,1964-65
1965-03-10,Providence,Jim Todaro,F,JR,1,0,1,1964-65
1965-03-10,Providence,Jim Wood,F,SO,0,1,1,1964-65
1965-03-10,Providence,Mike Sobeski,F,SO,3,0,3,1964-65
1965-03-10,Providence,Tom Ross,D,JR,0,2,2,1964-65
1965-03-12,Brown,Pete McLachlan,D,SO,0,1,1,1964-65
1965-03-12,Brown,Jim Wood,F,SO,1,0,1,1964-65
1965-03-12,Brown,Jim Quinn,F,SO,0,1,1,1964-65
1965-03-12,Brown,Dennis O'Connell,F,JR,0,1,1,1964-65
1965-03-12,Brown,Bruce Fennie,F,JR,0,1,1,1964-65
1965-03-12,Brown,Fred Bassi,F,SO,1,0,1,1964-65
1965-03-13,Clarkson,Mike Sobeski,F,SO,1,0,1,1964-65
1965-03-13,Clarkson,Bob Martell,F,SR,0,1,1,1964-65
1965-03-13,Clarkson,Bob Sylvia,F,SR,0,1,1,1964-65
1965-03-13,Clarkson,Brian Gilmour,D,SO,1,0,1,1964-65
1965-03-13,Clarkson,Bruce Fennie,F,JR,1,0,1,1964-65
1965-03-13,Clarkson,Dennis O'Connell,F,JR,0,1,1,1964-65
1965-03-13,Clarkson,Fred Bassi,F,SO,1,1,2,1964-65
1965-03-13,Clarkson,Jim Quinn,F,SO,0,1,1,1964-65
1965-03-13,Clarkson,Tom Ross,D,JR,0,1,1,1964-65
1965-11-26,St. Francis Xavier,Unknown,,,1,0,1,1965-66
1965-11-27,New Brunswick,Unknown,,,8,0,8,1965-66
1965-11-30,Yale,Brian Gilmour,D,JR,1,1,2,1965-66
1965-11-30,Yale,Shaun Quinlan,F,,0,1,1,1965-66
1965-11-30,Yale,Pete McLachlan,D,JR,0,1,1,1965-66
1965-11-30,Yale,Mike Sobeski,F,JR,0,1,1,1965-66
1965-11-30,Yale,Jim Wood,F,JR,1,0,1,1965-66
1965-11-30,Yale,Tom Ross,D,SR,0,2,2,1965-66
1965-11-30,Yale,Jim Quinn,F,JR,2,1,3,1965-66
1965-11-30,Yale,Jack Parker,F,SO,1,0,1,1965-66
1965-11-30,Yale,Fred Bassi,F,JR,0,2,2,1965-66
1965-11-30,Yale,Dennis O'Connell,F,SR,2,0,2,1965-66
1965-11-30,Yale,Jim Todaro,F,SR,0,1,1,1965-66
1965-12-04,Princeton,Dennis O'Connell,F,SR,1,0,1,1965-66
1965-12-04,Princeton,Fred Bassi,F,JR,1,0,1,1965-66
1965-12-04,Princeton,Jack Parker,F,SO,1,0,1,1965-66
1965-12-04,Princeton,Mike Sobeski,F,JR,2,0,2,1965-66
1965-12-04,Princeton,Unknown,,,2,0,2,1965-66
1965-12-09,New Hampshire,Fred Bassi,F,JR,1,1,2,1965-66
1965-12-09,New Hampshire,Mike Sobeski,F,JR,1,0,1,1965-66
1965-12-09,New Hampshire,Bruce Fennie,F,SR,1,2,3,1965-66
1965-12-09,New Hampshire,Pete McLachlan,D,JR,1,0,1,1965-66
1965-12-09,New Hampshire,Tom Ross,D,SR,0,1,1,1965-66
1965-12-09,New Hampshire,Jim Quinn,F,JR,0,1,1,1965-66
1965-12-09,New Hampshire,Dennis O'Connell,F,SR,0,1,1,1965-66
1965-12-09,New Hampshire,Brian Gilmour,D,JR,0,1,1,1965-66
1965-12-11,Boston College,John Crawley,F,SO,2,0,2,1965-66
1965-12-11,Boston College,Tom Ross,D,SR,1,2,3,1965-66
1965-12-11,Boston College,Pete McLachlan,D,JR,0,2,2,1965-66
1965-12-11,Boston College,Mike Sobeski,F,JR,2,0,2,1965-66
1965-12-11,Boston College,Jim Wood,F,JR,0,1,1,1965-66
1965-12-11,Boston College,Jack Parker,F,SO,0,1,1,1965-66
1965-12-11,Boston College,Fred Bassi,F,JR,0,3,3,1965-66
1965-12-11,Boston College,Dennis O'Connell,F,SR,1,0,1,1965-66
1965-12-11,Boston College,Bruce Fennie,F,SR,1,1,2,1965-66
1965-12-11,Boston College,Jim Quinn,F,JR,2,1,3,1965-66
1965-12-14,Rensselaer,Fred Bassi,F,JR,2,1,3,1965-66
1965-12-14,Rensselaer,Bill Riley,F,,1,0,1,1965-66
1965-12-14,Rensselaer,Brian Gilmour,D,JR,0,2,2,1965-66
1965-12-14,Rensselaer,Bruce Fennie,F,SR,4,0,4,1965-66
1965-12-14,Rensselaer,Dennis O'Connell,F,SR,0,5,5,1965-66
1965-12-14,Rensselaer,Jack Parker,F,SO,0,1,1,1965-66
1965-12-14,Rensselaer,Jim Quinn,F,JR,0,1,1,1965-66
1965-12-14,Rensselaer,Jim Todaro,F,SR,1,1,2,1965-66
1965-12-14,Rensselaer,Mike Sobeski,F,JR,1,0,1,1965-66
1965-12-18,Dartmouth,Jim Wood,F,JR,1,0,1,1965-66
1965-12-18,Dartmouth,Jim Quinn,F,JR,0,2,2,1965-66
1965-12-18,Dartmouth,Mike Sobeski,F,JR,2,1,3,1965-66
1965-12-18,Dartmouth,Fred Bassi,F,JR,1,0,1,1965-66
1965-12-18,Dartmouth,Pete McLachlan,D,JR,2,0,2,1965-66
1965-12-18,Dartmouth,Bruce Fennie,F,SR,1,0,1,1965-66
1965-12-18,Dartmouth,Brian Gilmour,D,JR,1,1,2,1965-66
1965-12-18,Dartmouth,BIll Riley,F,,0,1,1,1965-66
1965-12-18,Dartmouth,Dennis O'Connell,F,SR,0,2,2,1965-66
1965-12-21,Michigan Tech,Bruce Fennie,F,SR,0,1,1,1965-66
1965-12-21,Michigan Tech,Dennis O'Connell,F,SR,0,1,1,1965-66
1965-12-21,Michigan Tech,Fred Bassi,F,JR,1,0,1,1965-66
1965-12-21,Michigan Tech,Jack Parker,F,SO,0,1,1,1965-66
1965-12-21,Michigan Tech,John Cooke,F,SO,1,0,1,1965-66
1965-12-22,Colorado College,Vic Conte,D,SR,1,0,1,1965-66
1965-12-22,Colorado College,Pete McLachlan,D,JR,0,2,2,1965-66
1965-12-22,Colorado College,Mike Sobeski,F,JR,0,3,3,1965-66
1965-12-22,Colorado College,John Cooke,F,SO,0,1,1,1965-66
1965-12-22,Colorado College,Jim Wood,F,JR,0,1,1,1965-66
1965-12-22,Colorado College,Jim Todaro,F,SR,1,0,1,1965-66
1965-12-22,Colorado College,Jim Quinn,F,JR,2,0,2,1965-66
1965-12-22,Colorado College,Donald Lumley,D,JR,0,1,1,1965-66
1965-12-22,Colorado College,Fred Bassi,F,JR,3,1,4,1965-66
1965-12-22,Colorado College,Dennis O'Connell,F,SR,0,2,2,1965-66
1965-12-22,Colorado College,Bruce Fennie,F,SR,1,1,2,1965-66
1965-12-22,Colorado College,Brian Gilmour,D,JR,0,1,1,1965-66
1965-12-22,Colorado College,Bill Riley,F,,2,0,2,1965-66
1965-12-22,Colorado College,Jack Parker,F,SO,0,1,1,1965-66
1965-12-27,Michigan,Jim Wood,F,JR,1,1,2,1965-66
1965-12-27,Michigan,Vic Conte,D,SR,0,1,1,1965-66
1965-12-27,Michigan,Pete McLachlan,D,JR,1,0,1,1965-66
1965-12-27,Michigan,Mike Sobeski,F,JR,0,1,1,1965-66
1965-12-27,Michigan,Jim Quinn,F,JR,2,0,2,1965-66
1965-12-27,Michigan,BIll Riley,F,,0,1,1,1965-66
1965-12-27,Michigan,Fred Bassi,F,JR,1,0,1,1965-66
1965-12-27,Michigan,Dennis O'Connell,F,SR,0,1,1,1965-66
1965-12-27,Michigan,Brian Gilmour,D,JR,1,1,2,1965-66
1965-12-27,Michigan,Jack Parker,F,SO,1,0,1,1965-66
1965-12-28,Northeastern,Pete McLachlan,D,JR,0,1,1,1965-66
1965-12-28,Northeastern,Jack Parker,F,SO,1,1,2,1965-66
1965-12-28,Northeastern,Fred Bassi,F,JR,2,0,2,1965-66
1965-12-28,Northeastern,John Cooke,F,SO,1,1,2,1965-66
1965-12-28,Northeastern,Brian Gilmour,D,JR,0,1,1,1965-66
1965-12-28,Northeastern,Bill Riley,F,,0,2,2,1965-66
1965-12-28,Northeastern,Dennis O'Connell,F,SR,0,1,1,1965-66
1965-12-29,Michigan Tech,Brian Gilmour,D,JR,1,0,1,1965-66
1965-12-29,Michigan Tech,Bruce Fennie,F,SR,0,1,1,1965-66
1965-12-29,Michigan Tech,Fred Bassi,F,JR,1,0,1,1965-66
1965-12-29,Michigan Tech,Jim Quinn,F,JR,0,1,1,1965-66
1966-01-05,Harvard,Mike Sobeski,F,JR,0,1,1,1965-66
1966-01-05,Harvard,Vic Conte,D,SR,1,2,3,1965-66
1966-01-05,Harvard,Pete McLachlan,D,JR,0,1,1,1965-66
1966-01-05,Harvard,Jim Quinn,F,JR,0,1,1,1965-66
1966-01-05,Harvard,John Cooke,F,SO,0,1,1,1965-66
1966-01-05,Harvard,Jack Parker,F,SO,1,0,1,1965-66
1966-01-05,Harvard,Fred Bassi,F,JR,1,0,1,1965-66
1966-01-05,Harvard,Donald Lumley,D,JR,0,1,1,1965-66
1966-01-05,Harvard,Bruce Fennie,F,SR,1,1,2,1965-66
1966-01-08,Colby,Mike Sobeski,F,JR,5,0,5,1965-66
1966-01-08,Colby,Fred Bassi,F,JR,2,0,2,1965-66
1966-01-08,Colby,Unknown,,,1,0,1,1965-66
1966-01-10,Northeastern,Fred Bassi,F,JR,0,1,1,1965-66
1966-01-10,Northeastern,Jim Quinn,F,JR,1,0,1,1965-66
1966-01-10,Northeastern,Mike Sobeski,F,JR,0,1,1,1965-66
1966-01-10,Northeastern,Pete McLachlan,D,JR,1,1,2,1965-66
1966-01-21,Eastern Nationals,Jim Quinn,F,JR,1,0,1,1965-66
1966-01-21,Eastern Nationals,John Cooke,F,SO,1,0,1,1965-66
1966-01-21,Eastern Nationals,Donald Lumley,D,JR,1,0,1,1965-66
1966-01-21,Eastern Nationals,Bruce Fennie,F,SR,2,0,2,1965-66
1966-01-21,Eastern Nationals,Bill Riley,F,,0,1,1,1965-66
1966-01-21,Eastern Nationals,Jack Parker,F,SO,0,1,1,1965-66
1966-01-21,Eastern Nationals,Dennis O'Connell,F,SR,0,1,1,1965-66
1966-01-21,Eastern Nationals,Vic Conte,D,SR,0,1,1,1965-66
1966-01-25,Colby,Vic Conte,D,SR,1,0,1,1965-66
1966-01-25,Colby,Pete McLachlan,D,JR,1,1,2,1965-66
1966-01-25,Colby,Mike Sobeski,F,JR,0,3,3,1965-66
1966-01-25,Colby,Jim Wood,F,JR,1,0,1,1965-66
1966-01-25,Colby,Fred Bassi,F,JR,2,1,3,1965-66
1966-01-25,Colby,Bruce Fennie,F,SR,0,1,1,1965-66
1966-01-25,Colby,Brian Gilmour,D,JR,1,2,3,1965-66
1966-01-25,Colby,Jim Quinn,F,JR,1,1,2,1965-66
1966-01-29,Colgate,Bruce Fennie,F,SR,2,1,3,1965-66
1966-01-29,Colgate,Dennis O'Connell,F,SR,1,1,2,1965-66
1966-01-29,Colgate,Fred Bassi,F,JR,0,2,2,1965-66
1966-01-29,Colgate,Jim Quinn,F,JR,1,0,1,1965-66
1966-01-29,Colgate,Jim Wood,F,JR,0,1,1,1965-66
1966-02-02,Brown,Jim Quinn,F,JR,0,1,1,1965-66
1966-02-02,Brown,Pete McLachlan,D,JR,0,1,1,1965-66
1966-02-02,Brown,Jim Wood,F,JR,1,0,1,1965-66
1966-02-02,Brown,Jack Parker,F,SO,0,2,2,1965-66
1966-02-02,Brown,Brian Gilmour,D,JR,1,1,2,1965-66
1966-02-02,Brown,Dennis O'Connell,F,SR,1,1,2,1965-66
1966-02-02,Brown,Bruce Fennie,F,SR,0,1,1,1965-66
1966-02-02,Brown,Bill Riley,F,,1,1,2,1965-66
1966-02-02,Brown,Fred Bassi,F,JR,1,0,1,1965-66
1966-02-04,Providence,Bruce Fennie,F,SR,2,2,4,1965-66
1966-02-04,Providence,Dennis O'Connell,F,SR,1,2,3,1965-66
1966-02-04,Providence,Fred Bassi,F,JR,1,2,3,1965-66
1966-02-04,Providence,Jack Parker,F,SO,1,0,1,1965-66
1966-02-04,Providence,John Cooke,F,SO,1,1,2,1965-66
1966-02-04,Providence,Brian Gilmour,D,JR,0,1,1,1965-66
1966-02-04,Providence,Bill Riley,F,,0,1,1,1965-66
1966-02-04,Providence,Pete McLachlan,D,JR,0,1,1,1965-66
1966-02-07,Boston College,Pete McLachlan,D,JR,0,1,1,1965-66
1966-02-07,Boston College,Jim Wood,F,JR,0,1,1,1965-66
1966-02-07,Boston College,Jim Quinn,F,JR,0,1,1,1965-66
1966-02-07,Boston College,Mike Sobeski,F,JR,2,0,2,1965-66
1966-02-07,Boston College,Bruce Fennie,F,SR,2,2,4,1965-66
1966-02-07,Boston College,Brian Gilmour,D,JR,0,2,2,1965-66
1966-02-07,Boston College,Fred Bassi,F,JR,2,1,3,1965-66
1966-02-12,Army,Brian Gilmour,D,JR,1,0,1,1965-66
1966-02-12,Army,Jim Wood,F,JR,1,0,1,1965-66
1966-02-14,Harvard,Jim Quinn,F,JR,0,1,1,1965-66
1966-02-14,Harvard,Vic Conte,D,SR,0,1,1,1965-66
1966-02-14,Harvard,Pete McLachlan,D,JR,2,0,2,1965-66
1966-02-14,Harvard,Mike Sobeski,F,JR,1,0,1,1965-66
1966-02-14,Harvard,John Cooke,F,SO,2,0,2,1965-66
1966-02-14,Harvard,Jim Wood,F,JR,1,1,2,1965-66
1966-02-14,Harvard,Jack Parker,F,SO,0,3,3,1965-66
1966-02-14,Harvard,Donald Lumley,D,JR,1,0,1,1965-66
1966-02-14,Harvard,Dennis O'Connell,F,SR,1,0,1,1965-66
1966-02-14,Harvard,Bruce Fennie,F,SR,1,1,2,1965-66
1966-02-14,Harvard,Brian Gilmour,D,JR,0,1,1,1965-66
1966-02-14,Harvard,Bill Riley,F,,0,1,1,1965-66
1966-02-14,Harvard,Fred Bassi,F,JR,0,1,1,1965-66
1966-02-18,St. Lawrence,Mike Sobeski,F,JR,1,1,2,1965-66
1966-02-18,St. Lawrence,Brian Gilmour,D,JR,1,3,4,1965-66
1966-02-18,St. Lawrence,Bruce Fennie,F,SR,2,2,4,1965-66
1966-02-18,St. Lawrence,Dennis O'Connell,F,SR,0,1,1,1965-66
1966-02-18,St. Lawrence,Fred Bassi,F,JR,1,1,2,1965-66
1966-02-18,St. Lawrence,Jim Quinn,F,JR,0,2,2,1965-66
1966-02-18,St. Lawrence,Jim Wood,F,JR,1,0,1,1965-66
1966-02-18,St. Lawrence,Tom Ross,D,SR,0,1,1,1965-66
1966-02-19,Clarkson,Pete McLachlan,D,JR,0,1,1,1965-66
1966-02-19,Clarkson,Mike Sobeski,F,JR,1,0,1,1965-66
1966-02-19,Clarkson,Jim Wood,F,JR,0,1,1,1965-66
1966-02-19,Clarkson,Fred Bassi,F,JR,1,0,1,1965-66
1966-02-19,Clarkson,Bruce Fennie,F,SR,0,1,1,1965-66
1966-02-19,Clarkson,Jim Quinn,F,JR,1,1,2,1965-66
1966-02-23,Merrimack,Vic Conte,D,SR,0,1,1,1965-66
1966-02-23,Merrimack,Mike Sobeski,F,JR,1,0,1,1965-66
1966-02-23,Merrimack,Tom Ross,D,SR,0,1,1,1965-66
1966-02-23,Merrimack,Pete McLachlan,D,JR,0,2,2,1965-66
1966-02-23,Merrimack,Jim Wood,F,JR,0,1,1,1965-66
1966-02-23,Merrimack,Bill Riley,F,,1,0,1,1965-66
1966-02-23,Merrimack,Fred Bassi,F,JR,1,2,3,1965-66
1966-02-23,Merrimack,Donald Lumley,D,JR,0,1,1,1965-66
1966-02-23,Merrimack,Bruce Fennie,F,SR,4,1,5,1965-66
1966-02-23,Merrimack,Brian Gilmour,D,JR,0,1,1,1965-66
1966-02-23,Merrimack,Jim Quinn,F,JR,3,0,3,1965-66
1966-02-26,Boston College,Jim Quinn,F,JR,1,0,1,1965-66
1966-02-26,Boston College,Mike Sobeski,F,JR,0,1,1,1965-66
1966-02-26,Boston College,John Cooke,F,SO,0,1,1,1965-66
1966-02-26,Boston College,Jack Parker,F,SO,1,1,2,1965-66
1966-02-26,Boston College,Pete McLachlan,D,JR,1,0,1,1965-66
1966-02-26,Boston College,Bruce Fennie,F,SR,0,1,1,1965-66
1966-02-26,Boston College,Brian Gilmour,D,JR,1,0,1,1965-66
1966-02-26,Boston College,Bill Riley,F,,0,2,2,1965-66
1966-02-26,Boston College,Fred Bassi,F,JR,1,0,1,1965-66
1966-03-02,Dartmouth,Dennis O'Connell,F,SR,2,1,3,1965-66
1966-03-02,Dartmouth,Fred Bassi,F,JR,1,1,2,1965-66
1966-03-02,Dartmouth,Pete McLachlan,D,JR,1,1,2,1965-66
1966-03-02,Dartmouth,Bill Riley,F,,1,0,1,1965-66
1966-03-02,Dartmouth,Mike Sobeski,F,JR,1,0,1,1965-66
1966-03-02,Dartmouth,Jim Quinn,F,JR,1,0,1,1965-66
1966-03-02,Dartmouth,Bruce Fennie,F,SR,0,2,2,1965-66
1966-03-02,Dartmouth,Tom Ross,D,SR,0,2,2,1965-66
1966-03-02,Dartmouth,Jack Parker,F,SO,0,1,1,1965-66
1966-03-02,Dartmouth,Brian Gilmour,D,JR,0,1,1,1965-66
1966-03-02,Dartmouth,Vic Conte,D,SR,0,1,1,1965-66
1966-03-05,Providence,Jim Quinn,F,JR,1,0,1,1965-66
1966-03-05,Providence,Mike Sobeski,F,JR,0,1,1,1965-66
1966-03-05,Providence,Brian Gilmour,D,JR,0,1,1,1965-66
1966-03-05,Providence,Fred Bassi,F,JR,1,0,1,1965-66
1966-03-08,Northeastern,Jim Quinn,F,JR,2,0,2,1965-66
1966-03-08,Northeastern,Unknown,,,2,0,2,1965-66
1966-03-11,Cornell,Jim Quinn,F,JR,1,0,1,1965-66
1966-03-11,Cornell,Vic Conte,D,SR,0,1,1,1965-66
1966-03-11,Cornell,Tom Ross,D,SR,0,1,1,1965-66
1966-03-12,Brown,Unknown,,,5,0,5,1965-66
1966-03-18,Michigan State,Pete McLachlan,D,JR,1,0,1,1965-66
1966-03-19,Denver,Fred Bassi,F,JR,1,0,1,1965-66
1966-03-19,Denver,Jim Quinn,F,JR,1,0,1,1965-66
1966-03-19,Denver,Unknown,,,1,0,1,1965-66
1966-11-25,New Brunswick,Mike Sobeski,F,SR,2,1,3,1966-67
1966-11-25,New Brunswick,Serge Boily,F,SO,2,2,4,1966-67
1966-11-25,New Brunswick,Mickey Gray,F,SO,1,1,2,1966-67
1966-11-25,New Brunswick,Herb Wakabayashi,F,SO,1,2,3,1966-67
1966-11-25,New Brunswick,Fred Bassi,F,SR,1,1,2,1966-67
1966-11-25,New Brunswick,Bill Hinch,D,SO,1,0,1,1966-67
1966-11-25,New Brunswick,Pete McLachlan,D,SR,1,0,1,1966-67
1966-11-25,New Brunswick,Brian Gilmour,D,SR,1,2,3,1966-67
1966-11-25,New Brunswick,Jim Quinn,F,SR,0,3,3,1966-67
1966-11-25,New Brunswick,John Crawley,F,JR,0,1,1,1966-67
1966-11-25,New Brunswick,Jack Parker,F,JR,0,1,1,1966-67
1966-11-26,New Brunswick,James Dakin,D,,0,1,1,1966-67
1966-11-26,New Brunswick,Jim Quinn,F,SR,3,1,4,1966-67
1966-11-26,New Brunswick,Serge Boily,F,SO,3,0,3,1966-67
1966-11-26,New Brunswick,Mickey Gray,F,SO,1,2,3,1966-67
1966-11-26,New Brunswick,Brian Gilmour,D,SR,1,2,3,1966-67
1966-11-26,New Brunswick,Fred Bassi,F,SR,1,2,3,1966-67
1966-11-26,New Brunswick,Mike Sobeski,F,SR,0,3,3,1966-67
1966-11-26,New Brunswick,Herb Wakabayashi,F,SO,0,1,1,1966-67
1966-11-30,Rensselaer,Bill Hinch,D,SO,0,1,1,1966-67
1966-11-30,Rensselaer,Brian Gilmour,D,SR,0,2,2,1966-67
1966-11-30,Rensselaer,Fred Bassi,F,SR,0,1,1,1966-67
1966-11-30,Rensselaer,Herb Wakabayashi,F,SO,0,3,3,1966-67
1966-11-30,Rensselaer,Jack Parker,F,JR,1,0,1,1966-67
1966-11-30,Rensselaer,Jim Wood,F,SR,1,0,1,1966-67
1966-11-30,Rensselaer,Mickey Gray,F,SO,0,1,1,1966-67
1966-11-30,Rensselaer,Mike Sobeski,F,SR,1,0,1,1966-67
1966-11-30,Rensselaer,Pete McLachlan,D,SR,0,1,1,1966-67
1966-11-30,Rensselaer,Serge Boily,F,SO,4,0,4,1966-67
1966-12-03,Boston College,Serge Boily,F,SO,1,0,1,1966-67
1966-12-03,Boston College,Mickey Gray,F,SO,1,1,2,1966-67
1966-12-03,Boston College,Herb Wakabayashi,F,SO,0,2,2,1966-67
1966-12-03,Boston College,Bill Riley,F,,1,0,1,1966-67
1966-12-03,Boston College,Brian Gilmour,D,SR,0,2,2,1966-67
1966-12-03,Boston College,Charlie Morgan,F,SR,1,0,1,1966-67
1966-12-06,Providence,Serge Boily,F,SO,2,0,2,1966-67
1966-12-06,Providence,Jim Quinn,F,SR,2,0,2,1966-67
1966-12-06,Providence,Mickey Gray,F,SO,2,0,2,1966-67
1966-12-06,Providence,Jim Wood,F,SR,2,0,2,1966-67
1966-12-06,Providence,Pete McLachlan,D,SR,1,1,2,1966-67
1966-12-06,Providence,Herb Wakabayashi,F,SO,0,5,5,1966-67
1966-12-06,Providence,Mickey Gray,F,SO,0,2,2,1966-67
1966-12-06,Providence,Bill Riley,F,,0,1,1,1966-67
1966-12-06,Providence,Darrell Abbott,D,SO,0,1,1,1966-67
1966-12-06,Providence,Bill Hinch,D,SO,0,1,1,1966-67
1966-12-06,Providence,Charlie Morgan,F,SR,0,1,1,1966-67
1966-12-10,Eastern Nationals,Bill Riley,F,,2,0,2,1966-67
1966-12-10,Eastern Nationals,Fred Bassi,F,SR,1,2,3,1966-67
1966-12-10,Eastern Nationals,Jim Quinn,F,SR,0,2,2,1966-67
1966-12-13,Boston College,Jim Quinn,F,SR,1,2,3,1966-67
1966-12-13,Boston College,Serge Boily,F,SO,0,2,2,1966-67
1966-12-13,Boston College,Pete McLachlan,D,SR,0,1,1,1966-67
1966-12-13,Boston College,Mike Sobeski,F,SR,1,1,2,1966-67
1966-12-13,Boston College,Mickey Gray,F,SO,2,1,3,1966-67
1966-12-13,Boston College,Jack Parker,F,JR,1,0,1,1966-67
1966-12-13,Boston College,BIll Riley,F,,0,1,1,1966-67
1966-12-13,Boston College,Fred Bassi,F,SR,1,2,3,1966-67
1966-12-13,Boston College,Darrell Abbott,D,SO,1,0,1,1966-67
1966-12-13,Boston College,Charlie Morgan,F,SR,0,1,1,1966-67
1966-12-13,Boston College,Brian Gilmour,D,SR,0,2,2,1966-67
1966-12-13,Boston College,Bill Riley,F,,0,1,1,1966-67
1966-12-13,Boston College,Herb Wakabayashi,F,SO,1,2,3,1966-67
1966-12-17,Princeton,Fred Bassi,F,SR,5,0,5,1966-67
1966-12-17,Princeton,Mickey Gray,F,SO,4,0,4,1966-67
1966-12-17,Princeton,Jim Quinn,F,SR,2,2,4,1966-67
1966-12-17,Princeton,Pete McLachlan,D,SR,1,0,1,1966-67
1966-12-17,Princeton,Serge Boily,F,SO,1,4,5,1966-67
1966-12-17,Princeton,Herb Wakabayashi,F,SO,0,4,4,1966-67
1966-12-17,Princeton,Pete McLachlan,D,SR,0,4,4,1966-67
1966-12-17,Princeton,Brian Gilmour,D,SR,0,2,2,1966-67
1966-12-17,Princeton,Darrell Abbott,D,SO,0,1,1,1966-67
1966-12-17,Princeton,Mike Sobeski,F,SR,0,3,3,1966-67
1966-12-19,Minnesota,Mickey Gray,F,SO,4,0,4,1966-67
1966-12-19,Minnesota,Pete McLachlan,D,SR,1,2,3,1966-67
1966-12-19,Minnesota,Charlie Morgan,F,SR,1,1,2,1966-67
1966-12-19,Minnesota,Brian Gilmour,D,SR,1,1,2,1966-67
1966-12-19,Minnesota,Herb Wakabayashi,F,SO,0,3,3,1966-67
1966-12-19,Minnesota,Serge Boily,F,SO,0,3,3,1966-67
1966-12-19,Minnesota,Jim Quinn,F,SR,0,1,1,1966-67
1966-12-19,Minnesota,Bill Hinch,D,SO,1,1,2,1966-67
1966-12-19,Minnesota,Darrell Abbott,D,SO,0,1,1,1966-67
1966-12-20,Clarkson,Mike Sobeski,F,SR,1,0,1,1966-67
1966-12-20,Clarkson,Herb Wakabayashi,F,SO,1,0,1,1966-67
1966-12-20,Clarkson,Charlie Morgan,F,SR,1,0,1,1966-67
1966-12-20,Clarkson,Pete McLachlan,D,SR,0,1,1,1966-67
1966-12-20,Clarkson,Brian Gilmour,D,SR,0,1,1,1966-67
1966-12-20,Clarkson,Mickey Gray,F,SO,0,1,1,1966-67
1966-12-28,Harvard,Mike Sobeski,F,SR,0,2,2,1966-67
1966-12-28,Harvard,Serge Boily,F,SO,1,1,2,1966-67
1966-12-28,Harvard,Pete McLachlan,D,SR,0,1,1,1966-67
1966-12-28,Harvard,Mickey Gray,F,SO,0,1,1,1966-67
1966-12-28,Harvard,Herb Wakabayashi,F,SO,2,1,3,1966-67
1966-12-28,Harvard,Fred Bassi,F,SR,3,0,3,1966-67
1966-12-28,Harvard,Brian Gilmour,D,SR,1,1,2,1966-67
1966-12-28,Harvard,Bill Hinch,D,SO,0,1,1,1966-67
1966-12-28,Harvard,Jim Quinn,F,SR,0,2,2,1966-67
1966-12-29,Northeastern,Mike Sobeski,F,SR,1,0,1,1966-67
1966-12-29,Northeastern,Brian Gilmour,D,SR,0,2,2,1966-67
1966-12-29,Northeastern,Darrell Abbott,D,SO,0,1,1,1966-67
1966-12-29,Northeastern,Fred Bassi,F,SR,1,0,1,1966-67
1966-12-29,Northeastern,Herb Wakabayashi,F,SO,0,1,1,1966-67
1966-12-29,Northeastern,Jack Parker,F,JR,1,0,1,1966-67
1966-12-29,Northeastern,Jim Quinn,F,SR,0,1,1,1966-67
1966-12-29,Northeastern,Mickey Gray,F,SO,2,1,3,1966-67
1966-12-29,Northeastern,Serge Boily,F,SO,1,1,2,1966-67
1966-12-30,Cornell,Pete McLachlan,D,SR,0,1,1,1966-67
1966-12-30,Cornell,Jim Quinn,F,SR,1,1,2,1966-67
1966-12-30,Cornell,Fred Bassi,F,SR,0,1,1,1966-67
1966-12-30,Cornell,Brian Gilmour,D,SR,1,1,2,1966-67
1966-12-30,Cornell,Darrell Abbott,D,SO,1,0,1,1966-67
1967-01-07,Clarkson,Jim Quinn,F,SR,2,2,4,1966-67
1967-01-07,Clarkson,Mike Sobeski,F,SR,0,3,3,1966-67
1967-01-07,Clarkson,Mickey Gray,F,SO,0,2,2,1966-67
1967-01-07,Clarkson,John Cooke,F,JR,1,1,2,1966-67
1967-01-07,Clarkson,Jack Parker,F,JR,2,0,2,1966-67
1967-01-07,Clarkson,Pete McLachlan,D,SR,0,1,1,1966-67
1967-01-07,Clarkson,Fred Bassi,F,SR,2,1,3,1966-67
1967-01-07,Clarkson,Eddie Wright,F,SO,0,1,1,1966-67
1967-01-07,Clarkson,Darrell Abbott,D,SO,1,0,1,1966-67
1967-01-07,Clarkson,Bill Hinch,D,SO,1,1,2,1966-67
1967-01-07,Clarkson,BIll Riley,F,,0,3,3,1966-67
1967-01-07,Clarkson,Herb Wakabayashi,F,SO,2,0,2,1966-67
1967-01-27,Denver,John Cooke,F,JR,1,0,1,1966-67
1967-01-28,Denver,Unknown,,,1,0,1,1966-67
1967-02-01,Brown,Fred Bassi,F,SR,2,0,2,1966-67
1967-02-01,Brown,Mike Sobeski,F,SR,1,1,2,1966-67
1967-02-01,Brown,Jim Wood,F,SR,1,0,1,1966-67
