RK,TEAM,DATE,SEASON
1,Wisconsin,1972-10-30,1973
2,North Dakota,1972-10-30,1973
3,Harvard,1972-10-30,1973
4,Denver,1972-10-30,1973
5,Michigan Tech,1972-10-30,1973
6,Cornell,1972-10-30,1973
7,Boston College,1972-10-30,1973
8,Notre Dame,1972-10-30,1973
9,Boston University,1972-10-30,1973
10,Clarkson,1972-10-30,1973
1,Wisconsin,1972-11-06,1973
2,Michigan Tech,1972-11-06,1973
3,North Dakota,1972-11-06,1973
4,Harvard,1972-11-06,1973
5,Cornell,1972-11-06,1973
6,Denver,1972-11-06,1973
7,Boston University,1972-11-06,1973
8,Bowling Green State,1972-11-06,1973
8,Colorado College,1972-11-06,1973
10,Clarkson,1972-11-06,1973
1,Wisconsin,1972-11-13,1973
2,Michigan Tech,1972-11-13,1973
3,Denver,1972-11-13,1973
4,North Dakota,1972-11-13,1973
5,Harvard,1972-11-13,1973
6,Cornell,1972-11-13,1973
7,Notre Dame,1972-11-13,1973
8,Boston University,1972-11-13,1973
9,Clarkson,1972-11-13,1973
10,Lake Superior State,1972-11-13,1973
1,Wisconsin,1972-11-20,1973
2,Michigan Tech,1972-11-20,1973
3,Denver,1972-11-20,1973
4,Harvard,1972-11-20,1973
5,North Dakota,1972-11-20,1973
6,Cornell,1972-11-20,1973
7,Boston University,1972-11-20,1973
8,Michigan State,1972-11-20,1973
9,Clarkson,1972-11-20,1973
10,Notre Dame,1972-11-20,1973
1,Wisconsin,1972-11-27,1973
2,Michigan Tech,1972-11-27,1973
3,Denver,1972-11-27,1973
4,Boston University,1972-11-27,1973
5,North Dakota,1972-11-27,1973
6,Harvard,1972-11-27,1973
7,Cornell,1972-11-27,1973
8,Clarkson,1972-11-27,1973
9,Michigan State,1972-11-27,1973
10,Notre Dame,1972-11-27,1973
1,Wisconsin,1972-12-04,1973
2,Denver,1972-12-04,1973
3,Michigan Tech,1972-12-04,1973
4,Harvard,1972-12-04,1973
5,Boston University,1972-12-04,1973
5,Cornell,1972-12-04,1973
7,Michigan State,1972-12-04,1973
8,North Dakota,1972-12-04,1973
9,Clarkson,1972-12-04,1973
10,Pennsylvania,1972-12-04,1973
1,Wisconsin,1972-12-11,1973
2,Harvard,1972-12-11,1973
3,Denver,1972-12-11,1973
4,Michigan Tech,1972-12-11,1973
5,Cornell,1972-12-11,1973
6,Boston University,1972-12-11,1973
7,Michigan State,1972-12-11,1973
8,North Dakota,1972-12-11,1973
9,Clarkson,1972-12-11,1973
10,St. Louis,1972-12-11,1973
1,Wisconsin,1972-12-18,1973
2,Harvard,1972-12-18,1973
3,Michigan Tech,1972-12-18,1973
4,Denver,1972-12-18,1973
5,Boston University,1972-12-18,1973
6,North Dakota,1972-12-18,1973
7,Clarkson,1972-12-18,1973
8,Michigan State,1972-12-18,1973
9,Notre Dame,1972-12-18,1973
10,Cornell,1972-12-18,1973
1,Harvard,1973-01-01,1973
2,Wisconsin,1973-01-01,1973
3,Michigan Tech,1973-01-01,1973
4,Boston University,1973-01-01,1973
4,Denver,1973-01-01,1973
6,Michigan State,1973-01-01,1973
7,North Dakota,1973-01-01,1973
8,Clarkson,1973-01-01,1973
9,St. Louis,1973-01-01,1973
10,Cornell,1973-01-01,1973
1,Harvard,1973-01-08,1973
2,Wisconsin,1973-01-08,1973
3,Michigan State,1973-01-08,1973
4,Denver,1973-01-08,1973
5,Michigan Tech,1973-01-08,1973
6,Boston University,1973-01-08,1973
7,North Dakota,1973-01-08,1973
8,Clarkson,1973-01-08,1973
9,Cornell,1973-01-08,1973
10,Pennsylvania,1973-01-08,1973
1,Harvard,1973-01-15,1973
2,Wisconsin,1973-01-15,1973
3,Michigan State,1973-01-15,1973
4,Denver,1973-01-15,1973
5,North Dakota,1973-01-15,1973
5,Michigan Tech,1973-01-15,1973
7,Boston University,1973-01-15,1973
7,Clarkson,1973-01-15,1973
9,Cornell,1973-01-15,1973
10,Boston College,1973-01-15,1973
1,Harvard,1973-01-22,1973
2,Michigan State,1973-01-22,1973
3,Wisconsin,1973-01-22,1973
4,Denver,1973-01-22,1973
5,Boston University,1973-01-22,1973
6,Cornell,1973-01-22,1973
7,North Dakota,1973-01-22,1973
8,Clarkson,1973-01-22,1973
9,Michigan Tech,1973-01-22,1973
10,Boston College,1973-01-22,1973
1,Wisconsin,1973-01-29,1973
2,Harvard,1973-01-29,1973
3,Denver,1973-01-29,1973
4,Michigan State,1973-01-29,1973
5,Boston University,1973-01-29,1973
5,Boston College,1973-01-29,1973
7,Michigan Tech,1973-01-29,1973
7,Cornell,1973-01-29,1973
9,Notre Dame,1973-01-29,1973
10,Clarkson,1973-01-29,1973
1,Denver,1973-02-05,1973
2,Harvard,1973-02-05,1973
3,Wisconsin,1973-02-05,1973
4,Michigan State,1973-02-05,1973
5,Michigan Tech,1973-02-05,1973
6,Boston College,1973-02-05,1973
7,Boston University,1973-02-05,1973
8,Notre Dame,1973-02-05,1973
9,Cornell,1973-02-05,1973
10,North Dakota,1973-02-05,1973
1,Denver,1973-02-12,1973
2,Wisconsin,1973-02-12,1973
3,Harvard,1973-02-12,1973
4,Boston University,1973-02-12,1973
5,Michigan Tech,1973-02-12,1973
6,Michigan State,1973-02-12,1973
7,Boston College,1973-02-12,1973
8,Notre Dame,1973-02-12,1973
9,Cornell,1973-02-12,1973
10,North Dakota,1973-02-12,1973
1,Denver,1973-02-19,1973
1,Wisconsin,1973-02-19,1973
3,Cornell,1973-02-19,1973
4,Michigan State,1973-02-19,1973
5,Boston University,1973-02-19,1973
6,Boston College,1973-02-19,1973
7,Harvard,1973-02-19,1973
7,North Dakota,1973-02-19,1973
9,Notre Dame,1973-02-19,1973
10,Michigan Tech,1973-02-19,1973
1,Denver,1973-02-26,1973
2,Wisconsin,1973-02-26,1973
3,Boston University,1973-02-26,1973
4,Notre Dame,1973-02-26,1973
4,Cornell,1973-02-26,1973
6,Harvard,1973-02-26,1973
7,Michigan Tech,1973-02-26,1973
8,Boston College,1973-02-26,1973
9,Michigan State,1973-02-26,1973
10,St. Louis,1973-02-26,1973
1,Denver,1973-03-05,1973
2,Wisconsin,1973-03-05,1973
3,Cornell,1973-03-05,1973
4,Notre Dame,1973-03-05,1973
5,Harvard,1973-03-05,1973
6,Boston University,1973-03-05,1973
7,Boston College,1973-03-05,1973
8,Michigan State,1973-03-05,1973
9,Michigan Tech,1973-03-05,1973
10,St. Louis,1973-03-05,1973
1,Wisconsin,1973-10-22,1974
2,Notre Dame,1973-10-22,1974
3,Denver,1973-10-22,1974
4,Michigan Tech,1973-10-22,1974
5,Boston University,1973-10-22,1974
6,Cornell,1973-10-22,1974
7,St. Louis,1973-10-22,1974
8,Harvard,1973-10-22,1974
9,Boston College,1973-10-22,1974
10,Michigan State,1973-10-22,1974
1,Wisconsin,1973-11-05,1974
2,Notre Dame,1973-11-05,1974
3,Cornell,1973-11-05,1974
4,Michigan Tech,1973-11-05,1974
5,St. Louis,1973-11-05,1974
6,Boston University,1973-11-05,1974
7,Boston College,1973-11-05,1974
8,Harvard,1973-11-05,1974
8,Michigan State,1973-11-05,1974
10,Denver,1973-11-05,1974
1,Wisconsin,1973-11-12,1974
2,Michigan Tech,1973-11-12,1974
3,Michigan State,1973-11-12,1974
4,Cornell,1973-11-12,1974
5,Notre Dame,1973-11-12,1974
6,St. Louis,1973-11-12,1974
7,Boston University,1973-11-12,1974
8,Boston College,1973-11-12,1974
9,Denver,1973-11-12,1974
10,Harvard,1973-11-12,1974
1,Wisconsin,1973-11-19,1974
2,Notre Dame,1973-11-19,1974
3,Michigan Tech,1973-11-19,1974
4,Cornell,1973-11-19,1974
5,St. Louis,1973-11-19,1974
6,Michigan State,1973-11-19,1974
7,Boston University,1973-11-19,1974
8,Denver,1973-11-19,1974
8,Boston College,1973-11-19,1974
10,Michigan,1973-11-19,1974
1,Wisconsin,1973-11-26,1974
2,Michigan Tech,1973-11-26,1974
3,Cornell,1973-11-26,1974
4,St. Louis,1973-11-26,1974
5,Boston University,1973-11-26,1974
6,Colorado College,1973-11-26,1974
7,Boston College,1973-11-26,1974
8,Notre Dame,1973-11-26,1974
9,Michigan,1973-11-26,1974
10,Denver,1973-11-26,1974
1,Michigan Tech,1973-12-03,1974
2,Wisconsin,1973-12-03,1974
3,Cornell,1973-12-03,1974
4,Colorado College,1973-12-03,1974
5,Denver,1973-12-03,1974
6,New Hampshire,1973-12-03,1974
7,Minnesota,1973-12-03,1974
8,Boston College,1973-12-03,1974
9,St. Louis,1973-12-03,1974
10,Boston University,1973-12-03,1974
1,Michigan Tech,1973-12-10,1974
2,Wisconsin,1973-12-10,1974
3,Colorado College,1973-12-10,1974
4,Denver,1973-12-10,1974
5,Cornell,1973-12-10,1974
6,New Hampshire,1973-12-10,1974
7,Minnesota,1973-12-10,1974
8,St. Louis,1973-12-10,1974
9,Boston College,1973-12-10,1974
10,Boston University,1973-12-10,1974
1,Wisconsin,1973-12-17,1974
2,Michigan Tech,1973-12-17,1974
3,Denver,1973-12-17,1974
4,New Hampshire,1973-12-17,1974
5,Cornell,1973-12-17,1974
6,St. Louis,1973-12-17,1974
6,Colorado College,1973-12-17,1974
8,Michigan State,1973-12-17,1974
9,Minnesota,1973-12-17,1974
10,Boston College,1973-12-17,1974
1,Michigan Tech,1974-01-07,1974
2,Denver,1974-01-07,1974
3,Wisconsin,1974-01-07,1974
4,Michigan State,1974-01-07,1974
5,St. Louis,1974-01-07,1974
6,New Hampshire,1974-01-07,1974
7,Minnesota,1974-01-07,1974
8,Vermont,1974-01-07,1974
9,Boston University,1974-01-07,1974
10,Cornell,1974-01-07,1974
1,Michigan Tech,1974-01-14,1974
2,Denver,1974-01-14,1974
3,New Hampshire,1974-01-14,1974
4,Wisconsin,1974-01-14,1974
5,Michigan State,1974-01-14,1974
6,Vermont,1974-01-14,1974
7,Cornell,1974-01-14,1974
8,Colorado College,1974-01-14,1974
9,Boston University,1974-01-14,1974
10,Minnesota,1974-01-14,1974
1,Michigan Tech,1974-01-21,1974
2,Denver,1974-01-21,1974
3,New Hampshire,1974-01-21,1974
4,Wisconsin,1974-01-21,1974
5,Minnesota,1974-01-21,1974
6,Cornell,1974-01-21,1974
7,Vermont,1974-01-21,1974
8,Boston University,1974-01-21,1974
9,Michigan State,1974-01-21,1974
10,Michigan,1974-01-21,1974
1,Michigan Tech,1974-01-28,1974
2,New Hampshire,1974-01-28,1974
3,Boston University,1974-01-28,1974
4,Denver,1974-01-28,1974
5,Minnesota,1974-01-28,1974
6,Dartmouth,1974-01-28,1974
7,Michigan State,1974-01-28,1974
8,Wisconsin,1974-01-28,1974
9,Vermont,1974-01-28,1974
10,Cornell,1974-01-28,1974
1,Michigan Tech,1974-02-04,1974
2,New Hampshire,1974-02-04,1974
3,Boston University,1974-02-04,1974
4,Minnesota,1974-02-04,1974
5,Denver,1974-02-04,1974
6,Wisconsin,1974-02-04,1974
7,Michigan State,1974-02-04,1974
8,Vermont,1974-02-04,1974
8,Cornell,1974-02-04,1974
10,Minnesota Duluth,1974-02-04,1974
1,Michigan Tech,1974-02-11,1974
2,New Hampshire,1974-02-11,1974
3,Boston University,1974-02-11,1974
4,Denver,1974-02-11,1974
5,Minnesota,1974-02-11,1974
5,Wisconsin,1974-02-11,1974
7,Michigan State,1974-02-11,1974
8,Cornell,1974-02-11,1974
9,Michigan,1974-02-11,1974
9,Minnesota Duluth,1974-02-11,1974
1,Michigan Tech,1974-02-18,1974
2,New Hampshire,1974-02-18,1974
3,Minnesota,1974-02-18,1974
4,Boston University,1974-02-18,1974
5,Denver,1974-02-18,1974
6,Wisconsin,1974-02-18,1974
7,Michigan State,1974-02-18,1974
8,Harvard,1974-02-18,1974
9,Cornell,1974-02-18,1974
9,Michigan,1974-02-18,1974
9,St. Louis,1974-02-18,1974
1,Michigan Tech,1974-02-25,1974
2,Minnesota,1974-02-25,1974
3,New Hampshire,1974-02-25,1974
4,Denver,1974-02-25,1974
5,Boston University,1974-02-25,1974
6,Michigan State,1974-02-25,1974
7,Wisconsin,1974-02-25,1974
8,Cornell,1974-02-25,1974
9,Minnesota Duluth,1974-02-25,1974
10,Michigan,1974-02-25,1974
1,Michigan Tech,1974-03-04,1974
2,Minnesota,1974-03-04,1974
3,Boston University,1974-03-04,1974
4,New Hampshire,1974-03-04,1974
5,Michigan State,1974-03-04,1974
6,Denver,1974-03-04,1974
7,Harvard,1974-03-04,1974
8,Cornell,1974-03-04,1974
9,St. Louis,1974-03-04,1974
9,Minnesota Duluth,1974-03-04,1974
1,Michigan Tech,1974-10-28,1975
2,Boston University,1974-10-28,1975
3,Harvard,1974-10-28,1975
4,Minnesota,1974-10-28,1975
5,Michigan,1974-10-28,1975
6,Wisconsin,1974-10-28,1975
7,Notre Dame,1974-10-28,1975
8,Cornell,1974-10-28,1975
9,Minnesota Duluth,1974-10-28,1975
10,New Hampshire,1974-10-28,1975
1,Michigan Tech,1974-11-04,1975
2,Boston University,1974-11-04,1975
3,Harvard,1974-11-04,1975
4,Minnesota,1974-11-04,1975
5,Colorado College,1974-11-04,1975
6,Wisconsin,1974-11-04,1975
7,St. Louis,1974-11-04,1975
8,Michigan State,1974-11-04,1975
8,Cornell,1974-11-04,1975
10,Michigan,1974-11-04,1975
1,Michigan State,1974-11-11,1975
2,Boston University,1974-11-11,1975
3,Colorado College,1974-11-11,1975
4,Michigan Tech,1974-11-11,1975
5,Minnesota,1974-11-11,1975
6,Harvard,1974-11-11,1975
7,Denver,1974-11-11,1975
8,Wisconsin,1974-11-11,1975
9,St. Louis,1974-11-11,1975
10,Cornell,1974-11-11,1975
1,Michigan State,1974-11-18,1975
2,Colorado College,1974-11-18,1975
2,Boston University,1974-11-18,1975
4,Harvard,1974-11-18,1975
5,Michigan Tech,1974-11-18,1975
6,Wisconsin,1974-11-18,1975
7,Minnesota,1974-11-18,1975
8,Michigan,1974-11-18,1975
9,Cornell,1974-11-18,1975
10,Providence,1974-11-18,1975
1,Colorado College,1974-11-25,1975
2,Boston University,1974-11-25,1975
3,Wisconsin,1974-11-25,1975
4,Michigan,1974-11-25,1975
5,Harvard,1974-11-25,1975
6,Michigan State,1974-11-25,1975
7,Denver,1974-11-25,1975
8,Cornell,1974-11-25,1975
9,Michigan Tech,1974-11-25,1975
10,Minnesota,1974-11-25,1975
1,Wisconsin,1974-12-02,1975
2,Harvard,1974-12-02,1975
3,Michigan,1974-12-02,1975
4,Michigan State,1974-12-02,1975
5,Colorado College,1974-12-02,1975
6,Boston University,1974-12-02,1975
7,Michigan Tech,1974-12-02,1975
8,Minnesota,1974-12-02,1975
9,Bowling Green State,1974-12-02,1975
10,New Hampshire,1974-12-02,1975
1,Wisconsin,1974-12-09,1975
2,Boston University,1974-12-09,1975
3,Harvard,1974-12-09,1975
4,Michigan Tech,1974-12-09,1975
5,Colorado College,1974-12-09,1975
6,Michigan,1974-12-09,1975
7,Bowling Green State,1974-12-09,1975
8,Michigan State,1974-12-09,1975
9,Minnesota,1974-12-09,1975
10,Cornell,1974-12-09,1975
1,Wisconsin,1974-12-16,1975
2,Harvard,1974-12-16,1975
3,Michigan Tech,1974-12-16,1975
4,Colorado College,1974-12-16,1975
5,Michigan State,1974-12-16,1975
6,Minnesota,1974-12-16,1975
7,Boston University,1974-12-16,1975
8,Bowling Green State,1974-12-16,1975
9,Cornell,1974-12-16,1975
10,Providence,1974-12-16,1975
1,Wisconsin,1974-12-23,1975
2,Harvard,1974-12-23,1975
3,Colorado College,1974-12-23,1975
4,Minnesota,1974-12-23,1975
5,Michigan State,1974-12-23,1975
6,Boston University,1974-12-23,1975
7,Michigan Tech,1974-12-23,1975
8,Providence,1974-12-23,1975
9,Cornell,1974-12-23,1975
10,Bowling Green State,1974-12-23,1975
1,Wisconsin,1974-12-30,1975
2,Michigan Tech,1974-12-30,1975
3,Harvard,1974-12-30,1975
4,Colorado College,1974-12-30,1975
5,Michigan State,1974-12-30,1975
6,Minnesota,1974-12-30,1975
7,Boston University,1974-12-30,1975
8,Michigan,1974-12-30,1975
9,Bowling Green State,1974-12-30,1975
10,Providence,1974-12-30,1975
1,Minnesota,1975-01-06,1975
2,Michigan State,1975-01-06,1975
3,Harvard,1975-01-06,1975
4,Colorado College,1975-01-06,1975
5,Wisconsin,1975-01-06,1975
6,Michigan Tech,1975-01-06,1975
7,Boston University,1975-01-06,1975
8,Michigan,1975-01-06,1975
9,Bowling Green State,1975-01-06,1975
10,Providence,1975-01-06,1975
1,Minnesota,1975-01-13,1975
2,Michigan State,1975-01-13,1975
3,Harvard,1975-01-13,1975
4,Colorado College,1975-01-13,1975
5,Michigan Tech,1975-01-13,1975
6,Wisconsin,1975-01-13,1975
7,Michigan,1975-01-13,1975
8,Bowling Green State,1975-01-13,1975
9,Boston University,1975-01-13,1975
10,Providence,1975-01-13,1975
1,Minnesota,1975-01-20,1975
2,Michigan State,1975-01-20,1975
3,Harvard,1975-01-20,1975
4,Michigan Tech,1975-01-20,1975
5,Boston University,1975-01-20,1975
6,Colorado College,1975-01-20,1975
7,Wisconsin,1975-01-20,1975
8,Bowling Green State,1975-01-20,1975
9,New Hampshire,1975-01-20,1975
10,Michigan,1975-01-20,1975
1,Harvard,1975-01-27,1975
2,Minnesota,1975-01-27,1975
3,Michigan Tech,1975-01-27,1975
4,Michigan State,1975-01-27,1975
5,Boston University,1975-01-27,1975
6,Wisconsin,1975-01-27,1975
7,Colorado College,1975-01-27,1975
8,Michigan,1975-01-27,1975
9,New Hampshire,1975-01-27,1975
10,Providence,1975-01-27,1975
1,Minnesota,1975-02-03,1975
2,Harvard,1975-02-03,1975
3,Michigan Tech,1975-02-03,1975
4,Boston University,1975-02-03,1975
5,Michigan State,1975-02-03,1975
6,Wisconsin,1975-02-03,1975
7,Colorado College,1975-02-03,1975
8,Vermont,1975-02-03,1975
9,Michigan,1975-02-03,1975
10,St. Louis,1975-02-03,1975
10,Providence,1975-02-03,1975
1,Minnesota,1975-02-10,1975
2,Harvard,1975-02-10,1975
3,Michigan State,1975-02-10,1975
4,Wisconsin,1975-02-10,1975
5,Michigan Tech,1975-02-10,1975
6,Boston University,1975-02-10,1975
7,Colorado College,1975-02-10,1975
8,New Hampshire,1975-02-10,1975
9,St. Louis,1975-02-10,1975
10,Cornell,1975-02-10,1975
1,Minnesota,1975-02-17,1975
2,Harvard,1975-02-17,1975
3,Michigan Tech,1975-02-17,1975
4,Michigan State,1975-02-17,1975
5,Boston University,1975-02-17,1975
6,Colorado College,1975-02-17,1975
7,Wisconsin,1975-02-17,1975
8,Cornell,1975-02-17,1975
9,St. Louis,1975-02-17,1975
10,New Hampshire,1975-02-17,1975
1,Minnesota,1975-02-24,1975
2,Harvard,1975-02-24,1975
3,Michigan Tech,1975-02-24,1975
4,Boston University,1975-02-24,1975
5,Colorado College,1975-02-24,1975
6,Michigan State,1975-02-24,1975
7,Wisconsin,1975-02-24,1975
8,New Hampshire,1975-02-24,1975
9,Vermont,1975-02-24,1975
10,Bowling Green State,1975-02-24,1975
1,Harvard,1975-03-03,1975
2,Minnesota,1975-03-03,1975
3,Michigan Tech,1975-03-03,1975
4,Boston University,1975-03-03,1975
5,Colorado College,1975-03-03,1975
6,Wisconsin,1975-03-03,1975
7,Vermont,1975-03-03,1975
8,Michigan State,1975-03-03,1975
9,Cornell,1975-03-03,1975
10,Bowling Green State,1975-03-03,1975
1,Minnesota,1975-03-10,1975
2,Boston University,1975-03-10,1975
3,Michigan Tech,1975-03-10,1975
4,Harvard,1975-03-10,1975
5,Michigan State,1975-03-10,1975
6,Vermont,1975-03-10,1975
6,Michigan,1975-03-10,1975
8,Wisconsin,1975-03-10,1975
9,Cornell,1975-03-10,1975
10,Colorado College,1975-03-10,1975
1,Minnesota,1975-11-03,1976
2,Michigan,1975-11-03,1976
3,Boston University,1975-11-03,1976
4,Michigan Tech,1975-11-03,1976
5,Michigan State,1975-11-03,1976
6,Cornell,1975-11-03,1976
7,Minnesota Duluth,1975-11-03,1976
8,Colorado College,1975-11-03,1976
8,Harvard,1975-11-03,1976
10,Vermont,1975-11-03,1976
1,Minnesota,1975-11-10,1976
2,Michigan,1975-11-10,1976
3,Michigan State,1975-11-10,1976
4,Boston University,1975-11-10,1976
5,Michigan Tech,1975-11-10,1976
6,Vermont,1975-11-10,1976
7,Cornell,1975-11-10,1976
8,Harvard,1975-11-10,1976
9,Minnesota Duluth,1975-11-10,1976
10,Notre Dame,1975-11-10,1976
1,Michigan State,1975-11-17,1976
2,Minnesota,1975-11-17,1976
3,Michigan,1975-11-17,1976
4,Boston University,1975-11-17,1976
5,Michigan Tech,1975-11-17,1976
6,Minnesota Duluth,1975-11-17,1976
7,Vermont,1975-11-17,1976
7,Cornell,1975-11-17,1976
9,New Hampshire,1975-11-17,1976
10,Notre Dame,1975-11-17,1976
1,Minnesota,1975-11-24,1976
2,Boston University,1975-11-24,1976
3,Michigan State,1975-11-24,1976
4,Michigan,1975-11-24,1976
5,St. Louis,1975-11-24,1976
6,Michigan Tech,1975-11-24,1976
7,Minnesota Duluth,1975-11-24,1976
8,Bowling Green State,1975-11-24,1976
9,Harvard,1975-11-24,1976
10,Vermont,1975-11-24,1976
1,Michigan State,1975-12-01,1976
2,Michigan Tech,1975-12-01,1976
3,Minnesota,1975-12-01,1976
4,Michigan,1975-12-01,1976
5,Boston University,1975-12-01,1976
6,Cornell,1975-12-01,1976
7,Colorado College,1975-12-01,1976
8,St. Louis,1975-12-01,1976
9,Harvard,1975-12-01,1976
10,New Hampshire,1975-12-01,1976
1,Michigan State,1975-12-08,1976
2,Boston University,1975-12-08,1976
3,St. Louis,1975-12-08,1976
4,Michigan Tech,1975-12-08,1976
5,Colorado College,1975-12-08,1976
6,Minnesota,1975-12-08,1976
7,Michigan,1975-12-08,1976
8,Bowling Green State,1975-12-08,1976
9,Cornell,1975-12-08,1976
10,Brown,1975-12-08,1976
1,Michigan Tech,1975-12-15,1976
2,Michigan State,1975-12-15,1976
3,Boston University,1975-12-15,1976
4,Michigan,1975-12-15,1976
5,St. Louis,1975-12-15,1976
6,Brown,1975-12-15,1976
7,Minnesota,1975-12-15,1976
8,Colorado College,1975-12-15,1976
8,Cornell,1975-12-15,1976
10,New Hampshire,1975-12-15,1976
1,Michigan Tech,1976-01-05,1976
2,Boston University,1976-01-05,1976
3,Minnesota,1976-01-05,1976
4,Brown,1976-01-05,1976
5,Michigan State,1976-01-05,1976
6,Michigan,1976-01-05,1976
7,Colorado College,1976-01-05,1976
8,New Hampshire,1976-01-05,1976
9,Bowling Green State,1976-01-05,1976
10,Clarkson,1976-01-05,1976
1,Michigan Tech,1976-01-12,1976
2,Boston University,1976-01-12,1976
3,Minnesota,1976-01-12,1976
4,New Hampshire,1976-01-12,1976
5,Bowling Green State,1976-01-12,1976
6,Michigan,1976-01-12,1976
7,Michigan State,1976-01-12,1976
8,Colorado College,1976-01-12,1976
9,Brown,1976-01-12,1976
10,Providence,1976-01-12,1976
1,Michigan Tech,1976-01-19,1976
2,Boston University,1976-01-19,1976
3,Minnesota,1976-01-19,1976
4,New Hampshire,1976-01-19,1976
5,Bowling Green State,1976-01-19,1976
6,Michigan,1976-01-19,1976
7,Michigan State,1976-01-19,1976
8,Brown,1976-01-19,1976
9,Clarkson,1976-01-19,1976
10,St. Louis,1976-01-19,1976
1,Boston University,1976-01-26,1976
2,Michigan Tech,1976-01-26,1976
3,Michigan,1976-01-26,1976
4,Minnesota,1976-01-26,1976
5,Bowling Green State,1976-01-26,1976
6,New Hampshire,1976-01-26,1976
7,St. Louis,1976-01-26,1976
8,Brown,1976-01-26,1976
9,Harvard,1976-01-26,1976
10,Providence,1976-01-26,1976
1,Michigan Tech,1976-02-02,1976
2,Boston University,1976-02-02,1976
3,Minnesota,1976-02-02,1976
4,New Hampshire,1976-02-02,1976
5,Michigan State,1976-02-02,1976
6,Michigan,1976-02-02,1976
7,Bowling Green State,1976-02-02,1976
8,Clarkson,1976-02-02,1976
9,St. Louis,1976-02-02,1976
10,Providence,1976-02-02,1976
1,Michigan Tech,1976-02-09,1976
2,Boston University,1976-02-09,1976
3,New Hampshire,1976-02-09,1976
4,Michigan State,1976-02-09,1976
5,Minnesota,1976-02-09,1976
6,Michigan,1976-02-09,1976
7,Bowling Green State,1976-02-09,1976
8,Brown,1976-02-09,1976
9,Cornell,1976-02-09,1976
10,St. Louis,1976-02-09,1976
1,Michigan Tech,1976-02-16,1976
2,Boston University,1976-02-16,1976
3,Michigan State,1976-02-16,1976
4,New Hampshire,1976-02-16,1976
5,Minnesota,1976-02-16,1976
6,Michigan,1976-02-16,1976
7,Brown,1976-02-16,1976
8,Cornell,1976-02-16,1976
9,St. Louis,1976-02-16,1976
10,Clarkson,1976-02-16,1976
1,Michigan Tech,1976-02-23,1976
2,Boston University,1976-02-23,1976
3,New Hampshire,1976-02-23,1976
4,Michigan State,1976-02-23,1976
5,Brown,1976-02-23,1976
6,Minnesota,1976-02-23,1976
6,Michigan,1976-02-23,1976
8,Bowling Green State,1976-02-23,1976
9,Clarkson,1976-02-23,1976
10,Notre Dame,1976-02-23,1976
1,Michigan Tech,1976-03-01,1976
2,Boston University,1976-03-01,1976
3,Michigan State,1976-03-01,1976
4,New Hampshire,1976-03-01,1976
5,Minnesota,1976-03-01,1976
6,Brown,1976-03-01,1976
7,Michigan,1976-03-01,1976
8,Bowling Green State,1976-03-01,1976
9,Notre Dame,1976-03-01,1976
10,Clarkson,1976-03-01,1976
10,Cornell,1976-03-01,1976
1,Wisconsin,1976-11-01,1977
2,Minnesota,1976-11-01,1977
3,Brown,1976-11-01,1977
4,Michigan,1976-11-01,1977
5,Colorado College,1976-11-01,1977
6,New Hampshire,1976-11-01,1977
7,St. Louis,1976-11-01,1977
8,Boston University,1976-11-01,1977
9,Michigan Tech,1976-11-01,1977
10,Bowling Green State,1976-11-01,1977
1,Wisconsin,1976-11-08,1977
2,Michigan,1976-11-08,1977
3,Brown,1976-11-08,1977
4,Boston University,1976-11-08,1977
5,North Dakota,1976-11-08,1977
6,St. Louis,1976-11-08,1977
7,New Hampshire,1976-11-08,1977
8,Colorado College,1976-11-08,1977
9,Minnesota,1976-11-08,1977
10,Michigan Tech,1976-11-08,1977
1,Wisconsin,1976-11-15,1977
2,Michigan,1976-11-15,1977
3,New Hampshire,1976-11-15,1977
4,Minnesota,1976-11-15,1977
5,Brown,1976-11-15,1977
6,North Dakota,1976-11-15,1977
7,Boston University,1976-11-15,1977
8,Bowling Green State,1976-11-15,1977
9,Michigan Tech,1976-11-15,1977
10,Colorado College,1976-11-15,1977
1,Michigan,1976-11-22,1977
2,Wisconsin,1976-11-22,1977
3,New Hampshire,1976-11-22,1977
4,Bowling Green State,1976-11-22,1977
5,North Dakota,1976-11-22,1977
6,Brown,1976-11-22,1977
7,Minnesota,1976-11-22,1977
8,Michigan Tech,1976-11-22,1977
9,Boston College,1976-11-22,1977
10,Clarkson,1976-11-22,1977
1,Wisconsin,1976-11-29,1977
2,North Dakota,1976-11-29,1977
3,Michigan,1976-11-29,1977
4,Bowling Green State,1976-11-29,1977
5,Brown,1976-11-29,1977
6,Clarkson,1976-11-29,1977
7,New Hampshire,1976-11-29,1977
7,Boston College,1976-11-29,1977
9,Notre Dame,1976-11-29,1977
9,Minnesota,1976-11-29,1977
1,North Dakota,1976-12-06,1977
2,Wisconsin,1976-12-06,1977
3,Michigan,1976-12-06,1977
4,Clarkson,1976-12-06,1977
5,New Hampshire,1976-12-06,1977
6,St. Louis,1976-12-06,1977
7,Providence,1976-12-06,1977
8,Notre Dame,1976-12-06,1977
9,Cornell,1976-12-06,1977
10,Denver,1976-12-06,1977
1,Wisconsin,1976-12-13,1977
2,Clarkson,1976-12-13,1977
3,North Dakota,1976-12-13,1977
4,New Hampshire,1976-12-13,1977
