name,season,city,state,country
Alex Law,2024-25,Whitby,Ontario,Canada
Neely Nicholson,2024-25,Pittsburgh,Pennsylvania,United States
Clara Yuhn,2024-25,Bloomfield Hills,Michigan,United States
Julia Shaunessy,2024-25,Marshfield,Massachusetts,United States
Riley Walsh,2024-25,Duxbury,Massachusetts,United States
Christina Vote,2024-25,Arlington,Massachusetts,United States
Tamara Giaquinto,2024-25,Toronto,Ontario,Canada
Maeve Kelly,2024-25,Victoria,Minnesota,United States
Ani FitzGerald,2024-25,Shaker Heights,Ohio,United States
Lilli Welcke,2024-25,Heidelberg,Baden-Württemberg,Germany
Keira Healey,2024-25,Arthur,Ontario,Canada
Kaileigh Quigg,2024-25,Keswick,Ontario,Canada
Emily McDonald,2024-25,Essex,Vermont,United States
Callie Shanahan,2024-25,Commerce,Michigan,United States
Mari Pietersen,2024-25,Goodwood,Ontario,Canada
Michelle Pasiechnyk,2025-26,Ottawa,Ontario,Canada
Maeve Carey,2025-26,Gloucester,Massachusetts,United States
Lucy Thiessen,2025-26,Alexandria,Virginia,United States
Kate Meinert,2025-26,Moon Township,Pennsylvania,United States
Ella Belfry,2025-26,Ridgeway,Ontario,Canada
Lola Reid,2025-26,Lincoln,Nebraska,United States
Mia Vergilii,2025-26,Brecksville,Ohio,United States
Tessa Demain,2025-26,Wolfeboro,New Hampshire,United States
Sydney Healey,2025-26,Arthur,Ontario,Canada
Avery Supryka,2025-26,Ottawa,Ontario,Canada
Anežka Čabelová,2025-26,Český Krumlov,South Bohemian,Czechia
Luisa Welcke,2025-26,Heidelberg,Baden-Württemberg,Germany
Neely Nicholson,2025-26,Pittsburgh,Pennsylvania,United States
Clara Yuhn,2025-26,Bloomfield Hills,Michigan,United States
Riley Walsh,2025-26,Duxbury,Massachusetts,United States
Lexie Bertelsen,2025-26,Belmont,Ontario,Canada
Greta Henderson,2025-26,Regina,Saskatchewan,Canada
Maeve Kelly,2025-26,Victoria,Minnesota,United States
Lilli Welcke,2025-26,Heidelberg,Baden-Württemberg,Germany
Keira Healey,2025-26,Arthur,Ontario,Canada
Kaileigh Quigg,2025-26,Keswick,Ontario,Canada
Sydney Fogu,2025-26,Bayonne,New Jersey,United States
Jackie Wright,2025-26,Walpole,Massachusetts,United States
Mari Pietersen,2025-26,Goodwood,Ontario,Canada
Peyton Blaney,2026-27,Millgrove,Ontario,Canada
Kate Meinert,2026-27,Moon Township,Pennsylvania,United States
Kylie Hollingsworth,2026-27,Ottawa,Ontario,Canada
Lola Reid,2026-27,Lincoln,Nebraska,United States
Mia Vergilii,2026-27,Brecksville,Ohio,United States
Tessa Demain,2026-27,Wolfeboro,New Hampshire,United States
Lexie Bertelsen,2026-27,Belmont,Ontario,Canada
Avery Supryka,2026-27,Ottawa,Ontario,Canada
Anežka Cabelová,2026-27,Ceský Krumlov,South Bohemian,Czechia
Kaileigh Quigg,2026-27,Keswick,Ontario,Canada
Kali Maechtel,2026-27,Whitby,Ontario,Canada
Neely Nicholson,2026-27,Pittsburgh,Pennsylvania,United States
Mylie Ellis,2026-27,St. Thomas,Ontario,Canada
Loelie Lachapelle,2026-27,Ste-Anne-des-Plaines,Quebec,Canada
Eden Bergman,2026-27,Toronto,Ontario,Canada
Bronwyn Langis,2026-27,Goderich,Ontario,Canada
Greta Henderson,2026-27,Regina,Saskatchewan,Canada
Quinn Taylor,2026-27,Centerville,Massachusetts,United States
Ella Pukala,2026-27,Arlington Heights,Illinois,United States
Keira Healey,2026-27,Arthur,Ontario,Canada
Julia Curran,2026-27,Edmonton,Alberta,Canada
Sydney Fogu,2026-27,Bayonne,New Jersey,United States
Jackie Wright,2026-27,Walpole,Massachusetts,United States
Mari Pietersen,2026-27,Goodwood,Ontario,Canada
