Year,Name,Award
2018–19,MVP,Maddie Elia (Buffalo Beauts)
2019–20,Defender of the Year,Kaleigh Fratkin (Boston Pride)
2020–21,Defender of the Year,Kaleigh Fratkin (Boston Pride)
2021–22,Foundation Award,Shannon (Doyle) Turner (Connecticut Whale)
2022–23,Goalie of the Year,Corinne Schroeder (Boston Pride)
2022–23,Defender of the Year,Kaleigh Fratkin (Boston Pride)
2022–23,Rookie of the Year,Corinne Schroeder (Boston Pride) 
2022–23,Foundation Award,Sammy Davis (Boston Pride)
2022–23,Foundation Award,Reagan Rust (Metropolitan Riveters)
