Year,Location,Name,Country,Medal
2012,"Innsbruck, Austria",Jack Eichel,United States,
2016,"Lillehammer, Norway",Jack DeBoer,United States,Gold
2016,"Lillehammer, Norway",Jake Wise,United States,Gold
2020,"Lausanne, Switzerland",Lane Hutson,United States,Silver
