Name,Draft,Round,Pick,Pick In Round,Team
Sarah Lefort,2015,2,8,4,Buffalo Beauts
Maddie Elia,2016,5,18,2,Buffalo Beauts
Victoria Bach,2017,2,7,3,New York Riveters
Nina Rodgers,2017,5,17,1,Connecticut Whale 
Rebecca Leslie,2017,5,19,3,New York Riveters 
Sammy Davis,2020,1,1,1,Boston Pride
