01/05/2007,St. Cloud State,Allyse Wilcox,SO,10,0,1,0,13:55,,2006-07
01/06/2007,St. Cloud State,Melissa Haber,FR,12,2,1,0,24:02,L,2006-07
01/06/2007,St. Cloud State,Melissa Haber,FR,3,0,1,0,9:59,,2006-07
01/06/2007,St. Cloud State,Melissa Haber,FR,9,1,1,0,16:27,,2006-07
01/06/2007,St. Cloud State,Melissa Haber,FR,3,0,1,0,6:34,,2006-07
01/06/2007,St. Cloud State,Melissa Haber,FR,0,0,1,0,0:37,,2006-07
01/11/2007,Connecticut,Melissa Haber,FR,28,2,1,0,62:13,W,2006-07
01/13/2007,Northeastern,Melissa Haber,FR,25,2,1,0,60:00,W,2006-07
01/19/2007,Boston College,Melissa Haber,FR,20,1,1,0,60:00,W,2006-07
01/20/2007,Boston College,Allyse Wilcox,SO,31,6,1,0,60:00,L,2006-07
01/27/2007,Maine,Melissa Haber,FR,14,0,1,1,60:00,W,2006-07
01/31/2007,New Hampshire,Allyse Wilcox,SO,37,4,1,0,60:00,L,2006-07
02/03/2007,Northeastern,Melissa Haber,FR,3,1,1,0,15:49,,2006-07
02/03/2007,Northeastern,Melissa Haber,FR,13,2,1,0,22:38,,2006-07
02/03/2007,Northeastern,Melissa Haber,FR,8,1,1,0,26:29,T,2006-07
02/06/2007,Northeastern,Allyse Wilcox,SO,28,2,1,0,60:00,W,2006-07
02/10/2007,Providence,Allyse Wilcox,SO,36,1,1,0,60:00,W,2006-07
02/13/2007,Boston College,Melissa Haber,FR,26,6,1,0,60:00,L,2006-07
02/17/2007,Maine,Allyse Wilcox,SO,23,1,1,0,60:00,W,2006-07
02/18/2007,Maine,Allyse Wilcox,SO,16,3,1,0,58:55,L,2006-07
02/21/2007,New Hampshire,Allyse Wilcox,SO,42,3,1,0,58:45,L,2006-07
02/21/2007,New Hampshire,Allyse Wilcox,SO,1,0,1,0,0:43,,2006-07
02/24/2007,Northeastern,Melissa Haber,FR,23,2,1,0,60:00,W,2006-07
10/05/2007,North Dakota,Allyse Wilcox,JR,10,1,1,0,41:19,,2007-08
10/05/2007,North Dakota,Allyse Wilcox,JR,9,1,1,0,23:31,T,2007-08
10/06/2007,Minnesota,Melissa Haber,SO,38,4,1,0,58:25,L,2007-08
10/06/2007,Minnesota,Melissa Haber,SO,0,0,1,0,0:23,,2007-08
10/12/2007,Mercyhurst,Melissa Haber,SO,29,6,1,0,60:00,L,2007-08
10/13/2007,Mercyhurst,Melissa Haber,SO,36,3,1,0,56:20,L,2007-08
10/13/2007,Mercyhurst,Melissa Haber,SO,0,1,1,0,3:15,,2007-08
10/21/2007,New Hampshire,Allyse Wilcox,JR,35,2,1,0,58:50,L,2007-08
10/21/2007,New Hampshire,Allyse Wilcox,JR,0,0,1,0,0:34,,2007-08
10/28/2007,Dartmouth,Melissa Haber,SO,17,0,1,0,19:58,,2007-08
10/28/2007,Dartmouth,Melissa Haber,SO,33,5,1,0,45:00,T,2007-08
11/01/2007,New Hampshire,Allyse Wilcox,JR,31,3,1,0,57:40,L,2007-08
11/01/2007,New Hampshire,Allyse Wilcox,JR,2,0,1,0,1:44,,2007-08
11/03/2007,Union,Allyse Wilcox,JR,6,0,1,1,40:00,W,2007-08
11/03/2007,Union,Ashley Leichliter,SO,0,0,1,0,20:00,,2007-08
11/07/2007,Quinnipiac,Allyse Wilcox,JR,16,1,1,0,60:00,W,2007-08
11/10/2007,Princeton,Allyse Wilcox,JR,22,3,1,0,59:15,L,2007-08
11/10/2007,Princeton,Allyse Wilcox,JR,0,0,1,0,0:39,,2007-08
11/16/2007,St. Cloud State,Melissa Haber,SO,8,2,1,0,21:35,L,2007-08
11/16/2007,St. Cloud State,Melissa Haber,SO,0,0,1,0,1:07,,2007-08
11/16/2007,St. Cloud State,Melissa Haber,SO,16,3,1,0,36:51,,2007-08
11/17/2007,St. Cloud State,Allyse Wilcox,JR,2,0,1,0,9:43,,2007-08
11/17/2007,St. Cloud State,Allyse Wilcox,JR,26,2,1,0,48:57,L,2007-08
11/17/2007,St. Cloud State,Allyse Wilcox,JR,0,0,1,0,0:21,,2007-08
11/20/2007,Maine,Allyse Wilcox,JR,11,2,1,0,60:00,W,2007-08
12/01/2007,New Hampshire,Allyse Wilcox,JR,41,3,1,0,64:57,L,2007-08
12/02/2007,Vermont,Allyse Wilcox,JR,21,0,1,1,60:00,W,2007-08
12/06/2007,Boston College,Allyse Wilcox,JR,20,2,1,0,62:43,W,2007-08
12/08/2007,Sacred Heart,Melissa Haber,SO,5,0,1,1,19:28,W,2007-08
12/08/2007,Sacred Heart,Melissa Haber,SO,5,1,1,0,28:59,,2007-08
12/08/2007,Sacred Heart,Ashley Leichliter,SO,5,0,1,0,11:29,,2007-08
01/13/2008,Northeastern,Allyse Wilcox,JR,23,1,1,0,60:00,W,2007-08
01/19/2008,Connecticut,Allyse Wilcox,JR,3,0,1,0,12:23,,2007-08
01/19/2008,Connecticut,Allyse Wilcox,JR,14,3,1,0,46:11,L,2007-08
01/20/2008,Providence,Allyse Wilcox,JR,33,3,1,0,59:04,L,2007-08
